sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
487,92:69:1D:31:68:E9,3850470,488744048,4042,3652349,3846428,485091699,1,5381,1156028,5212,1117645,169,38383,2200,12,4294,103,1,61,229410.0,130000.0,-51.0,-48.0,-44.0,-47.0,-51.0,-47.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,39.0,44.0,45.0,45.0,1
488,CC:2F:71:3F:1F:24,5009495,1815824029,1163066,1330732270,3846429,485091759,1730,974795,1103677557,973967,1103577487,828,100070,942584,15,1161691,119907,1727,760,130000.0,43333.0,-70.0,-69.0,-68.0,-76.0,-70.0,-69.0,-68.0,-76.0,-90.0,-92.0,-89.0,-92.0,20.0,23.0,21.0,16.0,1
489,CC:2F:71:3E:C5:1F,3847412,485211940,983,120181,3846429,485091759,2,4263,355905,3547,270887,716,85018,1042,13,1413,28,2,54,144444.0,39000.0,-73.0,-72.0,-70.0,-61.0,-72.0,-71.0,-69.0,-60.0,-90.0,-92.0,-89.0,-92.0,17.0,20.0,19.0,31.0,1
490,BA:8C:B9:54:50:24,3851355,491285185,4926,6193426,3846429,485091759,7,9731,1750222,9709,1746727,22,3495,2358,17,5426,41,7,70,216660.0,130000.0,-40.0,-36.0,-45.0,-51.0,-45.0,-35.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,50.0,56.0,44.0,41.0,1
491,62:47:05:9D:EB:15,3853180,497274381,6744,12181956,3846436,485092425,1,6958,3801505,6908,3793847,50,7658,3314,0,6808,56,1,125,229410.0,130000.0,-44.0,-44.0,-35.0,-49.0,-43.0,-45.0,-36.0,-48.0,-90.0,-92.0,-89.0,-92.0,46.0,48.0,54.0,43.0,1
492,92:69:1D:31:68:E9,3850478,488744774,4042,3652349,3846436,485092425,1,5381,1156028,5212,1117645,169,38383,2200,12,4294,103,1,61,229410.0,130000.0,-51.0,-48.0,-44.0,-47.0,-51.0,-47.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,39.0,44.0,45.0,45.0,1
493,CC:2F:71:3F:1F:24,5009705,1816075678,1163269,1330983253,3846436,485092425,1730,974976,1103911417,974148,1103811347,828,100070,942765,15,1161894,119914,1727,760,130000.0,43333.0,-70.0,-69.0,-68.0,-76.0,-70.0,-69.0,-68.0,-76.0,-90.0,-92.0,-89.0,-92.0,20.0,23.0,21.0,16.0,1
494,CC:2F:71:3E:C5:1F,3847419,485212606,983,120181,3846436,485092425,2,4263,355905,3547,270887,716,85018,1042,13,1413,28,2,54,144444.0,39000.0,-73.0,-72.0,-70.0,-61.0,-72.0,-71.0,-69.0,-60.0,-90.0,-92.0,-89.0,-92.0,17.0,20.0,19.0,31.0,1
495,BA:8C:B9:54:50:24,3851362,491285851,4926,6193426,3846436,485092425,7,9731,1750222,9709,1746727,22,3495,2358,17,5426,41,7,70,216660.0,130000.0,-40.0,-36.0,-45.0,-51.0,-45.0,-35.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,50.0,56.0,44.0,41.0,1
496,62:47:05:9D:EB:15,3853183,497274643,6744,12181956,3846439,485092687,1,6958,3801505,6908,3793847,50,7658,3314,0,6808,56,1,125,229410.0,130000.0,-44.0,-44.0,-35.0,-49.0,-43.0,-45.0,-36.0,-48.0,-90.0,-92.0,-89.0,-92.0,46.0,48.0,54.0,43.0,1
497,92:69:1D:31:68:E9,3850481,488745036,4042,3652349,3846439,485092687,1,5381,1156028,5212,1117645,169,38383,2200,12,4294,103,1,61,229410.0,130000.0,-51.0,-48.0,-44.0,-47.0,-51.0,-47.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,39.0,44.0,45.0,45.0,1
498,CC:2F:71:3F:1F:24,5009899,1816317330,1163460,1331224643,3846439,485092687,1730,975144,1104137647,974316,1104037577,828,100070,942933,15,1162085,119916,1727,760,130000.0,43333.0,-70.0,-69.0,-68.0,-76.0,-69.0,-69.0,-68.0,-76.0,-90.0,-92.0,-89.0,-92.0,20.0,23.0,21.0,16.0,1
499,CC:2F:71:3E:C5:1F,3847422,485212868,983,120181,3846439,485092687,2,4263,355905,3547,270887,716,85018,1042,13,1413,28,2,54,144444.0,39000.0,-73.0,-72.0,-70.0,-61.0,-72.0,-71.0,-69.0,-60.0,-90.0,-92.0,-89.0,-92.0,17.0,20.0,19.0,31.0,1
500,BA:8C:B9:54:50:24,3851365,491286113,4926,6193426,3846439,485092687,7,9731,1750222,9709,1746727,22,3495,2358,17,5426,41,7,70,216660.0,130000.0,-40.0,-36.0,-45.0,-51.0,-45.0,-35.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,50.0,56.0,44.0,41.0,1
501,62:47:05:9D:EB:15,3853190,497275309,6744,12181956,3846446,485093353,1,6958,3801505,6908,3793847,50,7658,3314,0,6808,56,1,125,229410.0,130000.0,-44.0,-44.0,-35.0,-49.0,-43.0,-45.0,-36.0,-48.0,-90.0,-92.0,-89.0,-92.0,46.0,48.0,54.0,43.0,1
502,92:69:1D:31:68:E9,3850489,488745762,4042,3652349,3846447,485093413,1,5381,1156028,5212,1117645,169,38383,2200,12,4294,103,1,61,229410.0,130000.0,-51.0,-48.0,-44.0,-47.0,-51.0,-47.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,39.0,44.0,45.0,45.0,1
503,CC:2F:71:3F:1F:24,5010101,1816562460,1163654,1331469047,3846447,485093413,1730,975316,1104367119,974488,1104267049,828,100070,943105,15,1162279,119921,1727,760,130000.0,43333.0,-70.0,-69.0,-68.0,-76.0,-69.0,-69.0,-68.0,-76.0,-90.0,-92.0,-89.0,-92.0,20.0,23.0,21.0,16.0,1
504,CC:2F:71:3E:C5:1F,3847430,485213594,983,120181,3846447,485093413,2,4263,355905,3547,270887,716,85018,1042,13,1413,28,2,54,144444.0,39000.0,-73.0,-72.0,-70.0,-61.0,-72.0,-71.0,-69.0,-60.0,-90.0,-92.0,-89.0,-92.0,17.0,20.0,19.0,31.0,1
505,BA:8C:B9:54:50:24,3851373,491286839,4926,6193426,3846447,485093413,7,9731,1750222,9709,1746727,22,3495,2358,17,5426,41,7,70,216660.0,130000.0,-40.0,-36.0,-45.0,-51.0,-45.0,-35.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,50.0,56.0,44.0,41.0,1
506,62:47:05:9D:EB:15,3853194,497275633,6744,12181956,3846450,485093677,1,6958,3801505,6908,3793847,50,7658,3314,0,6808,56,1,125,229410.0,130000.0,-44.0,-44.0,-35.0,-49.0,-43.0,-45.0,-36.0,-48.0,-90.0,-92.0,-89.0,-92.0,46.0,48.0,54.0,43.0,1
507,92:69:1D:31:68:E9,3850493,488746142,4043,3652465,3846450,485093677,1,5383,1156164,5214,1117781,169,38383,2200,12,4295,103,1,61,229410.0,130000.0,-52.0,-48.0,-42.0,-49.0,-51.0,-47.0,-43.0,-47.0,-90.0,-92.0,-89.0,-92.0,38.0,44.0,47.0,43.0,1
508,CC:2F:71:3F:1F:24,5010296,1816807094,1163846,1331713417,3846450,485093677,1730,975487,1104596475,974659,1104496405,828,100070,943276,15,1162471,119922,1727,760,130000.0,43333.0,-70.0,-69.0,-68.0,-76.0,-69.0,-69.0,-68.0,-76.0,-90.0,-92.0,-89.0,-92.0,20.0,23.0,21.0,16.0,1
509,CC:2F:71:3E:C5:1F,3847434,485213974,984,120297,3846450,485093677,2,4267,356233,3550,271097,717,85136,1043,13,1414,28,2,54,144444.0,43333.0,-73.0,-72.0,-70.0,-61.0,-73.0,-72.0,-70.0,-61.0,-90.0,-92.0,-89.0,-92.0,17.0,20.0,19.0,31.0,1
510,BA:8C:B9:54:50:24,3851378,491287279,4927,6193542,3846451,485093737,7,9733,1750358,9711,1746863,22,3495,2358,17,5427,41,7,70,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-46.0,-35.0,-43.0,-46.0,-90.0,-92.0,-89.0,-92.0,42.0,57.0,46.0,47.0,1
