sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,F8:59:71:5A:E0:3D,2653069,373980049,26984,41542173,2626085,332437876,0,2995,370264,2950,361461,45,8803,2965,0,26991,865,0,19,144444.0,39000.0,-65.0,-73.0,-65.0,-71.0,-66.0,-74.0,-65.0,-71.0,-90.0,-92.0,-89.0,-92.0,25.0,19.0,24.0,21.0,0
2,CC:2F:71:3E:C5:1F,2631204,333063898,5119,626022,2626085,332437876,6,21971,1842180,18111,1384782,3860,457398,5401,29,7297,130,6,448,130000.0,39000.0,-70.0,-71.0,-68.0,-60.0,-69.0,-70.0,-67.0,-59.0,-90.0,-92.0,-89.0,-92.0,20.0,21.0,21.0,32.0,0
3,CC:2F:71:3F:1F:24,3107274,950806080,481189,618368204,2626085,332437876,19,364940,413650972,361068,413184378,3872,466594,339651,579,483264,56800,19,4534,130000.0,43333.0,-70.0,-64.0,-74.0,-68.0,-69.0,-64.0,-75.0,-68.0,-90.0,-92.0,-89.0,-92.0,20.0,28.0,15.0,24.0,0
4,F8:59:71:5A:E0:3D,2653075,373980655,26984,41542173,2626091,332438482,0,2995,370264,2950,361461,45,8803,2965,0,26991,865,0,19,144444.0,39000.0,-65.0,-73.0,-65.0,-71.0,-66.0,-74.0,-65.0,-71.0,-90.0,-92.0,-89.0,-92.0,25.0,19.0,24.0,21.0,0
5,CC:2F:71:3E:C5:1F,2631210,333064504,5119,626022,2626091,332438482,6,21973,1842320,18113,1384922,3860,457398,5401,29,7298,130,6,448,130000.0,39000.0,-70.0,-71.0,-68.0,-59.0,-69.0,-71.0,-67.0,-59.0,-90.0,-92.0,-89.0,-92.0,20.0,21.0,21.0,33.0,0
6,CC:2F:71:3F:1F:24,3107322,950822316,481220,618378410,2626102,332443906,19,364957,413653970,361085,413187376,3872,466594,339667,579,483295,56832,19,4534,117000.0,39000.0,-69.0,-64.0,-75.0,-68.0,-69.0,-64.0,-75.0,-68.0,-90.0,-92.0,-89.0,-92.0,21.0,28.0,14.0,24.0,0
7,F8:59:71:5A:E0:3D,2653103,373992225,26988,41542693,2626115,332449532,0,2999,370660,2954,361857,45,8803,2967,0,26995,865,0,19,144444.0,39000.0,-65.0,-74.0,-65.0,-70.0,-66.0,-74.0,-66.0,-71.0,-90.0,-92.0,-89.0,-92.0,25.0,18.0,24.0,22.0,0
8,CC:2F:71:3E:C5:1F,2631234,333075554,5119,626022,2626115,332449532,6,21973,1842320,18113,1384922,3860,457398,5401,29,7298,130,6,448,130000.0,39000.0,-70.0,-71.0,-68.0,-59.0,-69.0,-71.0,-67.0,-59.0,-90.0,-92.0,-89.0,-92.0,20.0,21.0,21.0,33.0,0
9,CC:2F:71:3F:1F:24,3107371,950838932,481256,618389400,2626115,332449532,19,364979,413657580,361107,413190986,3872,466594,339687,579,483331,56836,19,4534,130000.0,39000.0,-72.0,-66.0,-76.0,-70.0,-71.0,-65.0,-74.0,-69.0,-90.0,-92.0,-89.0,-92.0,18.0,26.0,13.0,22.0,0
10,F8:59:71:5A:E0:3D,2653110,373992813,26988,41542693,2626122,332450120,0,3000,370778,2954,361857,46,8921,2968,0,26995,865,0,19,144444.0,39000.0,-65.0,-74.0,-65.0,-69.0,-66.0,-74.0,-66.0,-71.0,-90.0,-92.0,-89.0,-92.0,25.0,18.0,24.0,23.0,0
11,CC:2F:71:3E:C5:1F,2631241,333076142,5119,626022,2626122,332450120,6,21973,1842320,18113,1384922,3860,457398,5401,29,7298,130,6,448,130000.0,39000.0,-70.0,-71.0,-68.0,-59.0,-69.0,-71.0,-67.0,-59.0,-90.0,-92.0,-89.0,-92.0,20.0,21.0,21.0,33.0,0
12,CC:2F:71:3F:1F:24,3107416,950850673,481292,618400351,2626124,332450322,19,365003,413661385,361130,413194673,3873,466712,339709,579,483367,56846,19,4534,130000.0,43333.0,-73.0,-63.0,-74.0,-66.0,-73.0,-63.0,-74.0,-65.0,-90.0,-92.0,-89.0,-92.0,17.0,29.0,15.0,26.0,0
13,F8:59:71:5A:E0:3D,2653112,373993015,26988,41542693,2626124,332450322,0,3001,370848,2955,361927,46,8921,2968,0,26995,865,0,19,144444.0,39000.0,-65.0,-72.0,-65.0,-69.0,-66.0,-74.0,-66.0,-70.0,-90.0,-92.0,-89.0,-92.0,25.0,20.0,24.0,23.0,0
14,CC:2F:71:3E:C5:1F,2631243,333076344,5119,626022,2626124,332450322,6,21973,1842320,18113,1384922,3860,457398,5401,29,7298,130,6,448,130000.0,39000.0,-70.0,-71.0,-68.0,-59.0,-69.0,-71.0,-67.0,-59.0,-90.0,-92.0,-89.0,-92.0,20.0,21.0,21.0,33.0,0
