sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
979,F8:59:71:5A:E0:3D,2203316,463665060,134196,200821421,2069120,262843639,1,47143,44062071,47025,44044378,118,17693,46151,3,134212,14476,1,72,144444.0,43333.0,-67.0,-72.0,-67.0,-70.0,-67.0,-72.0,-67.0,-69.0,-90.0,-93.0,-89.0,-93.0,23.0,21.0,22.0,23.0,0
980,CC:2F:71:3F:1F:24,2203484,425625694,134364,162782055,2069120,262843639,481,122490,134441493,122376,134427769,114,13724,120642,47,133925,15080,481,242,144444.0,43333.0,-74.0,-63.0,-73.0,-70.0,-74.0,-63.0,-73.0,-70.0,-90.0,-93.0,-89.0,-93.0,16.0,30.0,16.0,23.0,0
981,CC:2F:71:3E:C5:1F,5443283,4423309148,3374163,4160465509,2069120,262843639,502,88076,7607686,73879,5924972,14197,1682714,20898,205,3381449,862796,502,2870,86667.0,13000.0,-70.0,-72.0,-66.0,-61.0,-70.0,-71.0,-66.0,-61.0,-90.0,-93.0,-89.0,-93.0,20.0,21.0,23.0,32.0,0
982,F8:59:71:5A:E0:3D,2203382,463761812,134258,200917769,2069124,262844043,1,47205,44157551,47087,44139858,118,17693,46213,3,134274,14477,1,72,144444.0,43333.0,-67.0,-72.0,-67.0,-70.0,-67.0,-72.0,-67.0,-70.0,-89.0,-92.0,-89.0,-92.0,22.0,20.0,22.0,22.0,0
983,CC:2F:71:3F:1F:24,2203644,425829274,134520,162985231,2069124,262844043,481,122632,134637051,122518,134623327,114,13724,120783,47,134081,15080,481,242,144444.0,43333.0,-75.0,-63.0,-73.0,-70.0,-75.0,-63.0,-73.0,-70.0,-89.0,-92.0,-89.0,-92.0,14.0,29.0,16.0,22.0,0
984,CC:2F:71:3E:C5:1F,5443287,4423309552,3374163,4160465509,2069124,262844043,502,88076,7607686,73879,5924972,14197,1682714,20898,205,3381449,862796,502,2870,86667.0,13000.0,-70.0,-72.0,-66.0,-61.0,-70.0,-71.0,-66.0,-61.0,-89.0,-92.0,-89.0,-92.0,19.0,20.0,23.0,31.0,0
985,F8:59:71:5A:E0:3D,2203582,464048069,134451,201203194,2069131,262844875,1,47299,44260387,47181,44242694,118,17693,46307,3,134466,14519,1,72,144444.0,43333.0,-67.0,-72.0,-67.0,-70.0,-67.0,-72.0,-67.0,-70.0,-89.0,-92.0,-89.0,-92.0,22.0,20.0,22.0,22.0,0
986,CC:2F:71:3F:1F:24,2203851,426076755,134720,163231880,2069131,262844875,481,122804,134839824,122690,134826100,114,13724,120955,47,134281,15080,481,242,144444.0,43333.0,-75.0,-63.0,-74.0,-70.0,-75.0,-63.0,-73.0,-70.0,-89.0,-92.0,-89.0,-92.0,14.0,29.0,15.0,22.0,0
987,CC:2F:71:3E:C5:1F,5443294,4423310384,3374163,4160465509,2069131,262844875,502,88076,7607686,73879,5924972,14197,1682714,20898,205,3381449,862796,502,2870,86667.0,13000.0,-70.0,-72.0,-66.0,-61.0,-70.0,-71.0,-66.0,-61.0,-89.0,-92.0,-89.0,-92.0,19.0,20.0,23.0,31.0,0
988,F8:59:71:5A:E0:3D,2203815,464404709,134680,201559430,2069135,262845279,1,47396,44364762,47278,44347069,118,17693,46404,3,134696,14520,1,72,144444.0,43333.0,-67.0,-72.0,-67.0,-70.0,-67.0,-72.0,-67.0,-70.0,-89.0,-92.0,-89.0,-92.0,22.0,20.0,22.0,22.0,0
