sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
516,CC:2F:71:3F:1F:24,7418819,6811027254,4208974,6405596108,3209845,405431146,80,961568,579250667,953069,578229945,8499,1020722,909994,619,4213693,422050,80,5432,144444.0,43333.0,-69.0,-64.0,-74.0,-72.0,-68.0,-63.0,-72.0,-71.0,-85.0,-90.0,-84.0,-90.0,16.0,26.0,10.0,18.0,1
517,F8:59:71:5A:E0:3D,3275284,495554333,65435,90122783,3209849,405431550,0,62990,48756392,58222,48186676,4768,569716,41174,16,68147,1750,0,496,144444.0,43333.0,-67.0,-74.0,-66.0,-71.0,-66.0,-74.0,-65.0,-71.0,-85.0,-90.0,-84.0,-90.0,18.0,16.0,18.0,19.0,1
518,CC:2F:71:3E:C5:1F,3221196,406819662,11347,1388112,3209849,405431550,6,48478,4059192,40071,3063098,8407,996094,11962,34,16311,186,6,820,144444.0,39000.0,-69.0,-69.0,-67.0,-60.0,-70.0,-72.0,-68.0,-63.0,-85.0,-90.0,-84.0,-90.0,16.0,21.0,17.0,30.0,1
519,CC:2F:71:3F:1F:24,7419911,6812672639,4210060,6407240887,3209851,405431752,80,961865,579476366,953366,578455644,8499,1020722,910278,619,4214747,422169,80,5432,144444.0,43333.0,-69.0,-64.0,-73.0,-72.0,-68.0,-64.0,-73.0,-72.0,-85.0,-90.0,-84.0,-90.0,16.0,26.0,11.0,18.0,1
520,F8:59:71:5A:E0:3D,3275354,495655807,65500,90223793,3209854,405432014,0,63055,48856492,58287,48286776,4768,569716,41239,16,68212,1751,0,496,144444.0,43333.0,-67.0,-74.0,-66.0,-71.0,-66.0,-74.0,-65.0,-70.0,-85.0,-90.0,-84.0,-90.0,18.0,16.0,18.0,19.0,1
521,CC:2F:71:3E:C5:1F,3221201,406820126,11347,1388112,3209854,405432014,6,48478,4059192,40071,3063098,8407,996094,11962,34,16311,186,6,820,144444.0,39000.0,-69.0,-69.0,-67.0,-60.0,-70.0,-72.0,-68.0,-63.0,-85.0,-90.0,-84.0,-90.0,16.0,21.0,17.0,30.0,1
522,CC:2F:71:3F:1F:24,7420863,6814103719,4211009,6408671705,3209854,405432014,80,962149,579705126,953650,578684404,8499,1020722,910552,619,4215709,422295,80,5434,144444.0,43333.0,-70.0,-64.0,-74.0,-72.0,-69.0,-64.0,-73.0,-72.0,-85.0,-90.0,-84.0,-90.0,15.0,26.0,10.0,18.0,1
523,F8:59:71:5A:E0:3D,3275425,495757453,65567,90325035,3209858,405432418,0,63122,48956804,58354,48387088,4768,569716,41306,16,68279,1751,0,496,144444.0,43333.0,-67.0,-74.0,-66.0,-71.0,-67.0,-74.0,-65.0,-71.0,-85.0,-90.0,-84.0,-90.0,18.0,16.0,18.0,19.0,1
524,CC:2F:71:3E:C5:1F,3221205,406820530,11347,1388112,3209858,405432418,6,48478,4059192,40071,3063098,8407,996094,11962,34,16311,186,6,820,144444.0,39000.0,-69.0,-69.0,-67.0,-60.0,-70.0,-72.0,-68.0,-63.0,-85.0,-90.0,-84.0,-90.0,16.0,21.0,17.0,30.0,1
525,CC:2F:71:3F:1F:24,7421929,6815725214,4212071,6410292796,3209858,405432418,80,962421,579933213,953922,578912491,8499,1020722,910818,619,4216790,422482,80,5434,144444.0,43333.0,-69.0,-64.0,-73.0,-72.0,-68.0,-64.0,-73.0,-72.0,-85.0,-90.0,-84.0,-90.0,16.0,26.0,11.0,18.0,1
