sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,F8:59:71:5A:E0:3D,2864933,1426430739,772468,1160668672,2092465,265762067,1,430774,536519686,430471,536479975,303,39711,427123,3,772492,43225,1,303,144444.0,43333.0,-68.0,-75.0,-66.0,-71.0,-68.0,-74.0,-66.0,-70.0,-89.0,-92.0,-89.0,-92.0,21.0,17.0,23.0,21.0,1
2,CC:2F:71:3F:1F:24,3211937,1741685230,1119472,1475923163,2092465,265762067,481,890286,1113613248,889986,1113577162,300,36086,885612,47,1119052,41127,481,663,144444.0,43333.0,-75.0,-63.0,-72.0,-70.0,-74.0,-63.0,-71.0,-70.0,-89.0,-92.0,-89.0,-92.0,14.0,29.0,17.0,22.0,1
3,CC:2F:71:3E:C5:1F,5489929,4434249534,3397464,4168487467,2092465,265762067,502,91809,7882809,77431,6178651,14378,1704158,21164,205,3404754,869120,502,2886,130000.0,39000.0,-73.0,-74.0,-69.0,-61.0,-70.0,-72.0,-69.0,-61.0,-89.0,-92.0,-89.0,-92.0,16.0,18.0,20.0,31.0,1
4,F8:59:71:5A:E0:3D,2864996,1426527149,772530,1160765020,2092466,265762129,1,430836,536615236,430533,536575525,303,39711,427185,3,772554,43225,1,303,144444.0,43333.0,-68.0,-75.0,-66.0,-71.0,-68.0,-74.0,-66.0,-70.0,-89.0,-92.0,-89.0,-92.0,21.0,17.0,23.0,21.0,1
5,CC:2F:71:3F:1F:24,3212095,1741888556,1119627,1476126225,2092468,265762331,481,890429,1113807484,890129,1113771398,300,36086,885755,47,1119207,41129,481,663,144444.0,43333.0,-74.0,-63.0,-72.0,-70.0,-74.0,-63.0,-71.0,-70.0,-89.0,-92.0,-89.0,-92.0,15.0,29.0,17.0,22.0,1
6,CC:2F:71:3E:C5:1F,5489936,4434250202,3397464,4168487467,2092472,265762735,502,91811,7882997,77432,6178721,14379,1704276,21165,205,3404754,869120,502,2886,130000.0,39000.0,-74.0,-74.0,-68.0,-61.0,-71.0,-73.0,-69.0,-61.0,-89.0,-92.0,-89.0,-92.0,15.0,18.0,21.0,31.0,1
7,F8:59:71:5A:E0:3D,2865067,1426624365,772592,1160861368,2092475,265762997,1,430898,536710716,430595,536671005,303,39711,427247,3,772616,43226,1,303,144444.0,43333.0,-68.0,-74.0,-66.0,-71.0,-68.0,-74.0,-65.0,-70.0,-89.0,-92.0,-89.0,-92.0,21.0,18.0,23.0,21.0,1
8,CC:2F:71:3F:1F:24,3212263,1742093064,1119788,1476330067,2092475,265762997,481,890578,1114002542,890278,1113966456,300,36086,885904,47,1119368,41131,481,663,144444.0,43333.0,-74.0,-63.0,-72.0,-70.0,-74.0,-63.0,-71.0,-70.0,-89.0,-92.0,-89.0,-92.0,15.0,29.0,17.0,22.0,1
9,CC:2F:71:3E:C5:1F,5489939,4434250464,3397464,4168487467,2092475,265762997,502,91811,7882997,77432,6178721,14379,1704276,21165,205,3404754,869120,502,2886,130000.0,39000.0,-74.0,-74.0,-68.0,-61.0,-71.0,-73.0,-69.0,-61.0,-89.0,-92.0,-89.0,-92.0,15.0,18.0,21.0,31.0,1
10,F8:59:71:5A:E0:3D,2865462,1427213398,772987,1161450401,2092475,265762997,1,431029,536820842,430726,536781131,303,39711,427378,3,773011,43266,1,303,144444.0,43333.0,-68.0,-75.0,-66.0,-71.0,-68.0,-74.0,-65.0,-70.0,-89.0,-92.0,-88.0,-91.0,21.0,17.0,22.0,20.0,1
11,CC:2F:71:3F:1F:24,3212436,1742303327,1119960,1476540268,2092476,265763059,481,890737,1114203807,890436,1114167603,301,36204,886063,47,1119540,41137,481,663,144444.0,43333.0,-75.0,-63.0,-72.0,-71.0,-74.0,-63.0,-71.0,-70.0,-89.0,-92.0,-88.0,-91.0,14.0,29.0,16.0,20.0,1
12,CC:2F:71:3E:C5:1F,5489940,4434250526,3397464,4168487467,2092476,265763059,502,91811,7882997,77432,6178721,14379,1704276,21165,205,3404754,869120,502,2886,130000.0,39000.0,-74.0,-74.0,-68.0,-61.0,-71.0,-73.0,-69.0,-61.0,-89.0,-92.0,-88.0,-91.0,15.0,18.0,20.0,30.0,1
13,F8:59:71:5A:E0:3D,2865538,1427311513,773054,1161547480,2092484,265764033,1,431095,536919188,430792,536879477,303,39711,427444,3,773078,43266,1,303,130000.0,39000.0,-68.0,-75.0,-66.0,-71.0,-68.0,-74.0,-65.0,-70.0,-89.0,-92.0,-88.0,-91.0,21.0,17.0,22.0,20.0,1
14,CC:2F:71:3F:1F:24,3212601,1742507623,1120117,1476743590,2092484,265764033,481,890881,1114398222,890580,1114362018,301,36204,886207,47,1119697,41142,481,663,144444.0,43333.0,-74.0,-63.0,-72.0,-71.0,-74.0,-63.0,-71.0,-70.0,-89.0,-92.0,-88.0,-91.0,15.0,29.0,16.0,20.0,1
15,CC:2F:71:3E:C5:1F,5489948,4434251500,3397464,4168487467,2092484,265764033,502,91811,7882997,77432,6178721,14379,1704276,21165,205,3404754,869120,502,2886,130000.0,39000.0,-74.0,-74.0,-68.0,-61.0,-71.0,-73.0,-69.0,-61.0,-89.0,-92.0,-88.0,-91.0,15.0,18.0,20.0,30.0,1
16,F8:59:71:5A:E0:3D,2865604,1427409565,773117,1161645270,2092487,265764295,1,431157,537014668,430854,536974957,303,39711,427506,3,773141,43267,1,303,144444.0,43333.0,-68.0,-75.0,-65.0,-70.0,-68.0,-74.0,-65.0,-70.0,-89.0,-92.0,-88.0,-91.0,21.0,17.0,23.0,21.0,1
17,CC:2F:71:3F:1F:24,3212764,1742714445,1120277,1476950150,2092487,265764295,481,891028,1114595833,890727,1114559629,301,36204,886354,47,1119857,41144,481,663,144444.0,43333.0,-75.0,-63.0,-72.0,-71.0,-74.0,-63.0,-71.0,-71.0,-89.0,-92.0,-88.0,-91.0,14.0,29.0,16.0,20.0,1
18,CC:2F:71:3E:C5:1F,5489951,4434251762,3397464,4168487467,2092487,265764295,502,91811,7882997,77432,6178721,14379,1704276,21165,205,3404754,869120,502,2886,130000.0,39000.0,-74.0,-74.0,-68.0,-61.0,-71.0,-73.0,-69.0,-61.0,-89.0,-92.0,-88.0,-91.0,15.0,18.0,20.0,30.0,1
19,F8:59:71:5A:E0:3D,2865883,1427835398,773390,1162070497,2092493,265764901,1,431259,537119868,430956,537080157,303,39711,427608,3,773414,43301,1,303,144444.0,43333.0,-68.0,-75.0,-66.0,-70.0,-68.0,-74.0,-65.0,-70.0,-88.0,-92.0,-88.0,-91.0,20.0,17.0,22.0,21.0,1
20,CC:2F:71:3F:1F:24,3212925,1742918113,1120432,1477153212,2092493,265764901,481,891168,1114789777,890867,1114753573,301,36204,886494,47,1120012,41155,481,663,144444.0,43333.0,-74.0,-63.0,-72.0,-71.0,-74.0,-63.0,-71.0,-70.0,-88.0,-92.0,-88.0,-91.0,14.0,29.0,16.0,20.0,1
21,CC:2F:71:3E:C5:1F,5489957,4434252368,3397464,4168487467,2092493,265764901,502,91811,7882997,77432,6178721,14379,1704276,21165,205,3404754,869120,502,2886,130000.0,39000.0,-74.0,-74.0,-68.0,-61.0,-71.0,-73.0,-69.0,-61.0,-88.0,-92.0,-88.0,-91.0,14.0,18.0,20.0,30.0,1
22,F8:59:71:5A:E0:3D,2865947,1427931948,773452,1162166845,2092495,265765103,1,431321,537215348,431018,537175637,303,39711,427670,3,773476,43302,1,303,144444.0,43333.0,-68.0,-75.0,-66.0,-71.0,-68.0,-74.0,-66.0,-70.0,-88.0,-92.0,-88.0,-91.0,20.0,17.0,22.0,20.0,1
23,CC:2F:71:3F:1F:24,3213090,1743125195,1120594,1477360032,2092496,265765163,481,891318,1114987707,891017,1114951503,301,36204,886642,47,1120174,41159,481,663,144444.0,43333.0,-74.0,-63.0,-71.0,-71.0,-74.0,-63.0,-71.0,-71.0,-88.0,-92.0,-88.0,-91.0,14.0,29.0,17.0,20.0,1
24,CC:2F:71:3E:C5:1F,5489960,4434252630,3397464,4168487467,2092496,265765163,502,91811,7882997,77432,6178721,14379,1704276,21165,205,3404754,869120,502,2886,130000.0,39000.0,-74.0,-74.0,-68.0,-61.0,-71.0,-73.0,-69.0,-61.0,-88.0,-92.0,-88.0,-91.0,14.0,18.0,20.0,30.0,1
25,F8:59:71:5A:E0:3D,2866017,1428030516,773515,1162264747,2092502,265765769,1,431385,537313922,431082,537274211,303,39711,427733,3,773539,43302,1,303,144444.0,43333.0,-68.0,-75.0,-65.0,-71.0,-67.0,-73.0,-65.0,-70.0,-88.0,-92.0,-88.0,-91.0,20.0,17.0,23.0,20.0,1
26,CC:2F:71:3F:1F:24,3213259,1743329903,1120757,1477564134,2092502,265765769,481,891470,1115183176,891169,1115146972,301,36204,886794,47,1120337,41162,481,663,144444.0,43333.0,-74.0,-63.0,-72.0,-71.0,-74.0,-63.0,-71.0,-71.0,-88.0,-92.0,-88.0,-91.0,14.0,29.0,16.0,20.0,1
27,CC:2F:71:3E:C5:1F,5489966,4434253236,3397464,4168487467,2092502,265765769,502,91811,7882997,77432,6178721,14379,1704276,21165,205,3404754,869120,502,2886,130000.0,39000.0,-74.0,-74.0,-68.0,-61.0,-71.0,-73.0,-69.0,-61.0,-88.0,-92.0,-88.0,-91.0,14.0,18.0,20.0,30.0,1
28,F8:59:71:5A:E0:3D,2866151,1428195633,773647,1162429662,2092504,265765971,1,431475,537418753,431172,537379042,303,39711,427823,3,773671,43303,1,303,144444.0,43333.0,-68.0,-75.0,-66.0,-70.0,-68.0,-74.0,-65.0,-70.0,-88.0,-92.0,-88.0,-91.0,20.0,17.0,22.0,21.0,1
29,CC:2F:71:3F:1F:24,3213431,1743555053,1120927,1477789082,2092504,265765971,481,891618,1115386592,891317,1115350388,301,36204,886942,47,1120507,41168,481,663,144444.0,43333.0,-74.0,-63.0,-73.0,-74.0,-73.0,-62.0,-72.0,-72.0,-88.0,-92.0,-88.0,-91.0,14.0,29.0,15.0,17.0,1
