sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
3593,CC:2F:71:3F:1F:24,5306748,2130232880,1449238,1643747429,3857510,486485451,2222,1209428,1357966611,1208476,1357851045,952,115566,1169696,15,1447375,134716,2219,906,144444.0,43333.0,-73.0,-70.0,-68.0,-76.0,-73.0,-70.0,-68.0,-76.0,-89.0,-90.0,-87.0,-88.0,16.0,20.0,19.0,12.0,1
3594,CC:2F:71:3E:C5:1F,3858613,486620270,1103,134819,3857510,486485451,3,4808,400925,4008,305995,800,94930,1168,16,1590,32,3,55,130000.0,39000.0,-72.0,-72.0,-67.0,-60.0,-72.0,-72.0,-68.0,-60.0,-89.0,-90.0,-87.0,-88.0,17.0,18.0,20.0,28.0,1
3595,BA:8C:B9:54:50:24,3862563,492721024,5051,6235371,3857512,486485653,7,10487,1811062,10465,1807567,22,3495,2396,18,5620,45,7,80,216660.0,130000.0,-40.0,-37.0,-46.0,-52.0,-41.0,-36.0,-45.0,-51.0,-89.0,-90.0,-87.0,-88.0,49.0,53.0,41.0,36.0,1
3596,62:47:05:9D:EB:15,3878762,533446855,21244,46960596,3857518,486486259,1,17338,5984950,17242,5970491,96,14459,8130,1,21343,463,1,179,216660.0,130000.0,-40.0,-42.0,-40.0,-44.0,-40.0,-41.0,-41.0,-45.0,-89.0,-90.0,-87.0,-88.0,49.0,48.0,47.0,44.0,1
3597,92:69:1D:31:68:E9,3861850,490239525,4332,3753266,3857518,486486259,1,6161,1288625,5963,1243427,198,45198,2438,15,4639,107,1,71,216660.0,130000.0,-52.0,-48.0,-45.0,-48.0,-51.0,-48.0,-44.0,-47.0,-89.0,-90.0,-87.0,-88.0,37.0,42.0,42.0,40.0,1
3598,CC:2F:71:3F:1F:24,5306807,2130251985,1449287,1643765358,3857520,486486627,2222,1209456,1357971468,1208504,1357855902,952,115566,1169723,15,1447424,134717,2219,906,144444.0,43333.0,-73.0,-70.0,-69.0,-76.0,-73.0,-70.0,-69.0,-76.0,-89.0,-90.0,-87.0,-88.0,16.0,20.0,18.0,12.0,1
3599,CC:2F:71:3E:C5:1F,3858623,486621446,1103,134819,3857520,486486627,3,4808,400925,4008,305995,800,94930,1168,16,1590,32,3,55,130000.0,39000.0,-72.0,-72.0,-67.0,-60.0,-72.0,-72.0,-68.0,-60.0,-89.0,-90.0,-87.0,-88.0,17.0,18.0,20.0,28.0,1
3600,BA:8C:B9:54:50:24,3862571,492721998,5051,6235371,3857520,486486627,7,10487,1811062,10465,1807567,22,3495,2396,18,5620,45,7,80,216660.0,130000.0,-40.0,-37.0,-46.0,-52.0,-41.0,-36.0,-45.0,-51.0,-89.0,-90.0,-87.0,-88.0,49.0,53.0,41.0,36.0,1
3601,62:47:05:9D:EB:15,3878765,533447283,21244,46960596,3857521,486486687,1,17338,5984950,17242,5970491,96,14459,8130,1,21343,463,1,179,216660.0,130000.0,-40.0,-42.0,-40.0,-44.0,-40.0,-41.0,-41.0,-45.0,-89.0,-90.0,-87.0,-88.0,49.0,48.0,47.0,44.0,1
3602,92:69:1D:31:68:E9,3861853,490239953,4332,3753266,3857521,486486687,1,6161,1288625,5963,1243427,198,45198,2438,15,4639,107,1,71,216660.0,130000.0,-52.0,-48.0,-45.0,-48.0,-51.0,-48.0,-44.0,-47.0,-89.0,-90.0,-87.0,-88.0,37.0,42.0,42.0,40.0,1
3603,CC:2F:71:3F:1F:24,5306871,2130273801,1449348,1643786912,3857523,486486889,2222,1209495,1357980956,1208543,1357865390,952,115566,1169760,15,1447485,134717,2219,906,144444.0,43333.0,-72.0,-70.0,-68.0,-76.0,-72.0,-70.0,-67.0,-75.0,-89.0,-90.0,-87.0,-88.0,17.0,20.0,19.0,12.0,1
3604,CC:2F:71:3E:C5:1F,3858626,486621708,1103,134819,3857523,486486889,3,4808,400925,4008,305995,800,94930,1168,16,1590,32,3,55,130000.0,39000.0,-72.0,-72.0,-67.0,-60.0,-72.0,-72.0,-68.0,-60.0,-89.0,-90.0,-87.0,-88.0,17.0,18.0,20.0,28.0,1
3605,BA:8C:B9:54:50:24,3862576,492722462,5051,6235371,3857525,486487091,7,10487,1811062,10465,1807567,22,3495,2396,18,5620,45,7,80,216660.0,130000.0,-40.0,-37.0,-46.0,-52.0,-41.0,-36.0,-45.0,-51.0,-89.0,-90.0,-87.0,-88.0,49.0,53.0,41.0,36.0,1
3606,62:47:05:9D:EB:15,3878773,533448091,21244,46960596,3857529,486487495,1,17338,5984950,17242,5970491,96,14459,8130,1,21343,463,1,179,216660.0,130000.0,-40.0,-42.0,-40.0,-44.0,-40.0,-41.0,-41.0,-45.0,-89.0,-90.0,-87.0,-88.0,49.0,48.0,47.0,44.0,1
3607,92:69:1D:31:68:E9,3861861,490240761,4332,3753266,3857529,486487495,1,6161,1288625,5963,1243427,198,45198,2438,15,4639,107,1,71,216660.0,130000.0,-52.0,-48.0,-45.0,-48.0,-51.0,-48.0,-44.0,-47.0,-89.0,-90.0,-87.0,-88.0,37.0,42.0,42.0,40.0,1
3608,CC:2F:71:3F:1F:24,5306924,2130291981,1449395,1643804486,3857529,486487495,2222,1209523,1357985774,1208571,1357870208,952,115566,1169787,15,1447532,134719,2219,906,144444.0,39000.0,-72.0,-70.0,-68.0,-76.0,-72.0,-70.0,-68.0,-76.0,-89.0,-90.0,-87.0,-88.0,17.0,20.0,19.0,12.0,1
3609,CC:2F:71:3E:C5:1F,3858632,486622314,1103,134819,3857529,486487495,3,4808,400925,4008,305995,800,94930,1168,16,1590,32,3,55,130000.0,39000.0,-72.0,-72.0,-67.0,-60.0,-72.0,-72.0,-68.0,-60.0,-89.0,-90.0,-87.0,-88.0,17.0,18.0,20.0,28.0,1
3610,BA:8C:B9:54:50:24,3862580,492722866,5051,6235371,3857529,486487495,7,10487,1811062,10465,1807567,22,3495,2396,18,5620,45,7,80,216660.0,130000.0,-40.0,-37.0,-46.0,-52.0,-41.0,-36.0,-45.0,-51.0,-89.0,-90.0,-87.0,-88.0,49.0,53.0,41.0,36.0,1
3611,62:47:05:9D:EB:15,3878776,533448353,21244,46960596,3857532,486487757,1,17338,5984950,17242,5970491,96,14459,8130,1,21343,463,1,179,216660.0,130000.0,-40.0,-42.0,-40.0,-44.0,-40.0,-41.0,-41.0,-45.0,-89.0,-90.0,-87.0,-88.0,49.0,48.0,47.0,44.0,1
