sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
676,92:69:1D:31:68:E9,3763789,488343390,12616,15196379,3751173,473147011,3,18635,3494974,17967,3341462,668,153512,6336,102,13806,246,3,241,229410.0,137640.0,-51.0,-50.0,-45.0,-48.0,-52.0,-49.0,-44.0,-48.0,-90.0,-92.0,-88.0,-91.0,39.0,42.0,43.0,43.0,1
677,BA:8C:B9:54:50:24,3751306,473189748,126,42071,3751180,473147677,0,432,70011,415,67303,17,2708,123,1,155,1,0,0,229410.0,130000.0,-40.0,-37.0,-46.0,-51.0,-39.0,-37.0,-45.0,-50.0,-90.0,-92.0,-88.0,-91.0,50.0,55.0,42.0,40.0,1
678,CC:2F:71:3E:C5:1F,3751270,473159833,90,12156,3751180,473147677,0,384,36489,284,21829,100,14660,126,2,127,5,0,12,130000.0,39000.0,-70.0,-71.0,-67.0,-60.0,-70.0,-71.0,-66.0,-60.0,-90.0,-92.0,-88.0,-91.0,20.0,21.0,21.0,31.0,1
679,CC:2F:71:3F:1F:24,3780049,497925170,28869,24777493,3751180,473147677,8,17653,4964469,17526,4943292,127,21177,16334,7,28894,7926,8,46,130000.0,39000.0,-69.0,-67.0,-68.0,-70.0,-68.0,-67.0,-68.0,-69.0,-90.0,-92.0,-88.0,-91.0,21.0,25.0,20.0,21.0,1
680,92:69:1D:31:68:E9,3763796,488344056,12616,15196379,3751180,473147677,3,18635,3494974,17967,3341462,668,153512,6336,102,13806,246,3,241,229410.0,137640.0,-51.0,-50.0,-45.0,-48.0,-52.0,-49.0,-44.0,-48.0,-90.0,-92.0,-88.0,-91.0,39.0,42.0,43.0,43.0,1
681,BA:8C:B9:54:50:24,3751306,473189748,126,42071,3751180,473147677,0,432,70011,415,67303,17,2708,123,1,155,1,0,0,229410.0,130000.0,-40.0,-37.0,-46.0,-51.0,-39.0,-37.0,-45.0,-50.0,-90.0,-92.0,-88.0,-91.0,50.0,55.0,42.0,40.0,1
682,CC:2F:71:3E:C5:1F,3751272,473160035,90,12156,3751182,473147879,0,384,36489,284,21829,100,14660,126,2,127,5,0,12,130000.0,39000.0,-70.0,-71.0,-67.0,-60.0,-70.0,-71.0,-66.0,-60.0,-90.0,-92.0,-88.0,-91.0,20.0,21.0,21.0,31.0,1
683,CC:2F:71:3F:1F:24,3780089,497939232,28907,24791353,3751182,473147879,8,17674,4968203,17547,4947026,127,21177,16354,7,28932,7978,8,46,117000.0,39000.0,-69.0,-67.0,-70.0,-69.0,-68.0,-67.0,-70.0,-69.0,-90.0,-92.0,-88.0,-91.0,21.0,25.0,18.0,22.0,1
684,92:69:1D:31:68:E9,3763798,488344258,12616,15196379,3751182,473147879,3,18635,3494974,17967,3341462,668,153512,6336,102,13806,246,3,241,229410.0,137640.0,-51.0,-50.0,-45.0,-48.0,-52.0,-49.0,-44.0,-48.0,-90.0,-92.0,-88.0,-91.0,39.0,42.0,43.0,43.0,1
685,BA:8C:B9:54:50:24,3751314,473190556,126,42071,3751188,473148485,0,432,70011,415,67303,17,2708,123,1,155,1,0,0,229410.0,130000.0,-40.0,-37.0,-46.0,-51.0,-39.0,-37.0,-45.0,-50.0,-90.0,-92.0,-88.0,-91.0,50.0,55.0,42.0,40.0,1
686,CC:2F:71:3E:C5:1F,3751278,473160641,90,12156,3751188,473148485,0,384,36489,284,21829,100,14660,126,2,127,5,0,12,130000.0,39000.0,-70.0,-71.0,-67.0,-60.0,-70.0,-71.0,-66.0,-60.0,-90.0,-92.0,-88.0,-91.0,20.0,21.0,21.0,31.0,1
687,CC:2F:71:3F:1F:24,3780139,497957097,28951,24808612,3751188,473148485,8,17703,4973265,17576,4952088,127,21177,16380,7,28976,7986,8,46,115556.0,26000.0,-69.0,-68.0,-70.0,-69.0,-69.0,-67.0,-69.0,-68.0,-90.0,-92.0,-88.0,-91.0,21.0,24.0,18.0,22.0,1
688,92:69:1D:31:68:E9,3763804,488344864,12616,15196379,3751188,473148485,3,18635,3494974,17967,3341462,668,153512,6336,102,13806,246,3,241,229410.0,137640.0,-51.0,-50.0,-45.0,-48.0,-52.0,-49.0,-44.0,-48.0,-90.0,-92.0,-88.0,-91.0,39.0,42.0,43.0,43.0,1
689,BA:8C:B9:54:50:24,3751316,473190889,126,42071,3751190,473148818,0,432,70011,415,67303,17,2708,123,1,155,1,0,0,229410.0,130000.0,-40.0,-37.0,-46.0,-51.0,-39.0,-37.0,-45.0,-50.0,-90.0,-92.0,-88.0,-91.0,50.0,55.0,42.0,40.0,1
690,CC:2F:71:3E:C5:1F,3751282,473161176,90,12156,3751192,473149020,0,384,36489,284,21829,100,14660,126,2,127,5,0,12,130000.0,39000.0,-70.0,-71.0,-67.0,-60.0,-70.0,-71.0,-66.0,-60.0,-90.0,-92.0,-88.0,-90.0,20.0,21.0,21.0,30.0,1
691,CC:2F:71:3F:1F:24,3780181,497971604,28989,24822584,3751192,473149020,8,17726,4977435,17599,4956258,127,21177,16400,7,29014,7990,8,46,115556.0,28889.0,-69.0,-67.0,-70.0,-68.0,-68.0,-67.0,-70.0,-68.0,-90.0,-92.0,-88.0,-90.0,21.0,25.0,18.0,22.0,1
692,92:69:1D:31:68:E9,3763808,488345399,12616,15196379,3751192,473149020,3,18635,3494974,17967,3341462,668,153512,6336,102,13806,246,3,241,229410.0,137640.0,-51.0,-50.0,-45.0,-48.0,-52.0,-49.0,-44.0,-48.0,-90.0,-92.0,-88.0,-90.0,39.0,42.0,43.0,42.0,1
693,BA:8C:B9:54:50:24,3751324,473191697,126,42071,3751198,473149626,0,432,70011,415,67303,17,2708,123,1,155,1,0,0,229410.0,130000.0,-40.0,-37.0,-46.0,-51.0,-39.0,-37.0,-45.0,-50.0,-90.0,-92.0,-88.0,-90.0,50.0,55.0,42.0,39.0,1
694,CC:2F:71:3E:C5:1F,3751288,473161782,90,12156,3751198,473149626,0,384,36489,284,21829,100,14660,126,2,127,5,0,12,130000.0,39000.0,-70.0,-71.0,-67.0,-60.0,-70.0,-71.0,-66.0,-60.0,-90.0,-92.0,-88.0,-90.0,20.0,21.0,21.0,30.0,1
695,CC:2F:71:3F:1F:24,3780224,497986108,29026,24836482,3751198,473149626,8,17747,4981169,17620,4959992,127,21177,16420,7,29051,7990,8,46,115556.0,28889.0,-70.0,-67.0,-71.0,-71.0,-70.0,-66.0,-70.0,-69.0,-90.0,-92.0,-88.0,-90.0,20.0,25.0,17.0,19.0,1
696,92:69:1D:31:68:E9,3763814,488346005,12616,15196379,3751198,473149626,3,18635,3494974,17967,3341462,668,153512,6336,102,13806,246,3,241,229410.0,137640.0,-51.0,-50.0,-45.0,-48.0,-52.0,-49.0,-44.0,-48.0,-90.0,-92.0,-88.0,-90.0,39.0,42.0,43.0,42.0,1
