sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
458,CC:2F:71:3F:1F:24,5161453,2006882554,1311202,1521310785,3850251,485571769,2222,1106606,1274656160,1105731,1274550160,875,106000,1071037,15,1309336,123783,2219,846,130000.0,39000.0,-72.0,-69.0,-67.0,-73.0,-72.0,-69.0,-67.0,-73.0,-90.0,-90.0,-87.0,-88.0,18.0,21.0,20.0,15.0,1
459,CC:2F:71:3E:C5:1F,3851276,485697058,1024,125163,3850252,485571895,3,4476,373057,3732,284735,744,88322,1083,14,1472,30,3,54,130000.0,39000.0,-81.0,-83.0,-76.0,-71.0,-73.0,-73.0,-70.0,-61.0,-90.0,-90.0,-87.0,-88.0,9.0,7.0,11.0,17.0,1
460,BA:8C:B9:54:50:24,3855211,491768979,4959,6197084,3850252,485571895,7,9991,1768076,9969,1764581,22,3495,2361,18,5483,44,7,77,229410.0,130000.0,-48.0,-35.0,-43.0,-45.0,-43.0,-35.0,-44.0,-48.0,-90.0,-90.0,-87.0,-88.0,42.0,55.0,44.0,43.0,1
461,62:47:05:9D:EB:15,3857304,497883285,7050,12311188,3850254,485572097,1,7509,3915130,7459,3907472,50,7658,3586,0,7131,56,1,126,229410.0,130000.0,-44.0,-46.0,-36.0,-47.0,-44.0,-46.0,-36.0,-47.0,-90.0,-90.0,-87.0,-88.0,46.0,44.0,51.0,41.0,1
462,92:69:1D:31:68:E9,3854436,489277490,4182,3705393,3850254,485572097,1,5717,1228928,5538,1188195,179,40733,2317,12,4452,104,1,66,216660.0,130000.0,-51.0,-47.0,-42.0,-49.0,-51.0,-47.0,-43.0,-47.0,-90.0,-90.0,-87.0,-88.0,39.0,43.0,45.0,39.0,1
463,CC:2F:71:3F:1F:24,5161650,2007127400,1311396,1521555303,3850254,485572097,2222,1106787,1274898426,1105912,1274792426,875,106000,1071210,15,1309531,123783,2219,846,144444.0,43333.0,-71.0,-69.0,-67.0,-73.0,-71.0,-68.0,-67.0,-72.0,-90.0,-90.0,-87.0,-88.0,19.0,21.0,20.0,15.0,1
464,CC:2F:71:3E:C5:1F,3851278,485697260,1024,125163,3850254,485572097,3,4476,373057,3732,284735,744,88322,1083,14,1472,30,3,54,130000.0,39000.0,-81.0,-83.0,-76.0,-71.0,-73.0,-73.0,-70.0,-61.0,-90.0,-90.0,-87.0,-88.0,9.0,7.0,11.0,17.0,1
465,BA:8C:B9:54:50:24,3855214,491769241,4959,6197084,3850255,485572157,7,9991,1768076,9969,1764581,22,3495,2361,18,5483,44,7,77,229410.0,130000.0,-48.0,-35.0,-43.0,-45.0,-43.0,-35.0,-44.0,-48.0,-90.0,-90.0,-87.0,-88.0,42.0,55.0,44.0,43.0,1
466,62:47:05:9D:EB:15,3857312,497884537,7051,12311774,3850261,485572763,1,7510,3915198,7460,3907540,50,7658,3586,0,7132,56,1,127,229410.0,130000.0,-44.0,-47.0,-36.0,-48.0,-44.0,-46.0,-37.0,-47.0,-90.0,-90.0,-87.0,-88.0,46.0,43.0,51.0,40.0,1
467,92:69:1D:31:68:E9,3854443,489278156,4182,3705393,3850261,485572763,1,5717,1228928,5538,1188195,179,40733,2317,12,4452,104,1,66,216660.0,130000.0,-51.0,-47.0,-42.0,-49.0,-51.0,-47.0,-43.0,-47.0,-90.0,-90.0,-87.0,-88.0,39.0,43.0,45.0,39.0,1
468,CC:2F:71:3F:1F:24,5161846,2007369212,1311585,1521796449,3850261,485572763,2222,1106963,1275131438,1106088,1275025438,875,106000,1071380,15,1309720,123783,2219,846,144444.0,43333.0,-71.0,-69.0,-67.0,-73.0,-71.0,-69.0,-67.0,-73.0,-90.0,-90.0,-87.0,-88.0,19.0,21.0,20.0,15.0,1
469,CC:2F:71:3E:C5:1F,3851285,485697926,1024,125163,3850261,485572763,3,4476,373057,3732,284735,744,88322,1083,14,1472,30,3,54,130000.0,39000.0,-81.0,-83.0,-76.0,-71.0,-73.0,-73.0,-70.0,-61.0,-90.0,-90.0,-87.0,-88.0,9.0,7.0,11.0,17.0,1
470,BA:8C:B9:54:50:24,3855220,491769847,4959,6197084,3850261,485572763,7,9991,1768076,9969,1764581,22,3495,2361,18,5483,44,7,77,229410.0,130000.0,-48.0,-35.0,-43.0,-45.0,-43.0,-35.0,-44.0,-48.0,-90.0,-90.0,-87.0,-88.0,42.0,55.0,44.0,43.0,1
471,62:47:05:9D:EB:15,3857315,497885012,7051,12311774,3850264,485573238,1,7511,3915266,7461,3907608,50,7658,3586,0,7132,56,1,127,229410.0,130000.0,-44.0,-47.0,-36.0,-48.0,-44.0,-46.0,-37.0,-47.0,-90.0,-90.0,-87.0,-88.0,46.0,43.0,51.0,40.0,1
