sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,92:69:1D:31:68:E9,3819906,484800324,3444,3448245,3816462,481352079,0,3545,921647,3451,900792,94,20855,1769,6,3570,77,0,31,216660.0,130000.0,-52.0,-50.0,-44.0,-46.0,-52.0,-50.0,-44.0,-46.0,-90.0,-93.0,-89.0,-92.0,38.0,43.0,45.0,46.0,0
2,CC:2F:71:3F:1F:24,4392592,1161331057,576130,679978978,3816462,481352079,37,483255,555736703,482700,555669737,555,66966,465592,10,576367,41073,34,429,144444.0,43333.0,-65.0,-63.0,-69.0,-65.0,-65.0,-63.0,-69.0,-65.0,-90.0,-93.0,-89.0,-92.0,25.0,30.0,20.0,27.0,0
3,CC:2F:71:3E:C5:1F,3817132,481433951,670,81872,3816462,481352079,0,2878,240584,2388,182406,490,58178,709,8,1001,18,0,31,144444.0,39000.0,-70.0,-71.0,-67.0,-60.0,-70.0,-71.0,-67.0,-61.0,-90.0,-93.0,-89.0,-92.0,20.0,22.0,22.0,32.0,0
4,BA:8C:B9:54:50:24,3818179,482188312,1715,836031,3816464,481352281,0,5488,815979,5468,812857,20,3122,1001,14,2090,29,0,48,229410.0,130000.0,-51.0,-35.0,-44.0,-44.0,-43.0,-36.0,-44.0,-48.0,-90.0,-93.0,-89.0,-92.0,39.0,58.0,45.0,48.0,0
5,92:69:1D:31:68:E9,3819912,484800930,3444,3448245,3816468,481352685,0,3545,921647,3451,900792,94,20855,1769,6,3570,77,0,31,216660.0,130000.0,-52.0,-50.0,-44.0,-46.0,-52.0,-50.0,-44.0,-46.0,-90.0,-93.0,-89.0,-92.0,38.0,43.0,45.0,46.0,0
6,CC:2F:71:3F:1F:24,4392640,1161346203,576172,679993518,3816468,481352685,37,483283,555741857,482728,555674891,555,66966,465619,10,576409,41116,34,429,144444.0,43333.0,-65.0,-63.0,-70.0,-66.0,-65.0,-63.0,-69.0,-65.0,-90.0,-93.0,-89.0,-92.0,25.0,30.0,19.0,26.0,0
7,CC:2F:71:3E:C5:1F,3817140,481434759,670,81872,3816470,481352887,0,2878,240584,2388,182406,490,58178,709,8,1001,18,0,31,144444.0,39000.0,-70.0,-71.0,-67.0,-60.0,-70.0,-71.0,-67.0,-61.0,-90.0,-92.0,-89.0,-92.0,20.0,21.0,22.0,32.0,0
8,BA:8C:B9:54:50:24,3818186,482188978,1715,836031,3816471,481352947,0,5488,815979,5468,812857,20,3122,1001,14,2090,29,0,48,229410.0,130000.0,-51.0,-35.0,-44.0,-44.0,-43.0,-36.0,-44.0,-48.0,-90.0,-92.0,-89.0,-92.0,39.0,57.0,45.0,48.0,0
9,92:69:1D:31:68:E9,3819915,484801192,3444,3448245,3816471,481352947,0,3545,921647,3451,900792,94,20855,1769,6,3570,77,0,31,216660.0,130000.0,-52.0,-50.0,-44.0,-46.0,-52.0,-50.0,-44.0,-46.0,-90.0,-92.0,-89.0,-92.0,38.0,42.0,45.0,46.0,0
10,CC:2F:71:3F:1F:24,4392687,1161361394,576215,680008174,3816472,481353220,37,483310,555746847,482755,555679881,555,66966,465645,10,576452,41166,34,429,144444.0,43333.0,-67.0,-65.0,-70.0,-67.0,-66.0,-64.0,-70.0,-67.0,-90.0,-92.0,-89.0,-92.0,23.0,27.0,19.0,25.0,0
11,CC:2F:71:3E:C5:1F,3817143,481435208,671,81988,3816472,481353220,0,2880,240724,2390,182546,490,58178,709,8,1002,18,0,31,144444.0,39000.0,-70.0,-71.0,-67.0,-60.0,-71.0,-72.0,-68.0,-61.0,-90.0,-92.0,-89.0,-92.0,20.0,21.0,22.0,32.0,0
12,BA:8C:B9:54:50:24,3818189,482189453,1715,836031,3816474,481353422,0,5488,815979,5468,812857,20,3122,1001,14,2090,29,0,48,229410.0,130000.0,-51.0,-35.0,-44.0,-44.0,-43.0,-36.0,-44.0,-48.0,-90.0,-92.0,-89.0,-92.0,39.0,57.0,45.0,48.0,0
13,92:69:1D:31:68:E9,3819923,484802131,3445,3448305,3816478,481353826,0,3547,921783,3453,900928,94,20855,1769,6,3571,77,0,31,216660.0,130000.0,-51.0,-47.0,-42.0,-49.0,-51.0,-49.0,-44.0,-47.0,-90.0,-92.0,-89.0,-92.0,39.0,45.0,47.0,43.0,0
14,CC:2F:71:3F:1F:24,4392735,1161376484,576257,680022658,3816478,481353826,37,483335,555751651,482780,555684685,555,66966,465670,10,576494,41178,34,429,130000.0,43333.0,-67.0,-65.0,-71.0,-68.0,-67.0,-65.0,-70.0,-67.0,-90.0,-92.0,-89.0,-92.0,23.0,27.0,18.0,24.0,0
15,CC:2F:71:3E:C5:1F,3817149,481435814,671,81988,3816478,481353826,0,2880,240724,2390,182546,490,58178,709,8,1002,18,0,31,144444.0,39000.0,-70.0,-71.0,-67.0,-60.0,-71.0,-72.0,-68.0,-61.0,-90.0,-92.0,-89.0,-92.0,20.0,21.0,22.0,32.0,0
16,BA:8C:B9:54:50:24,3818196,482190175,1716,836147,3816480,481354028,0,5490,816115,5470,812993,20,3122,1001,14,2091,29,0,48,229410.0,130000.0,-39.0,-37.0,-44.0,-51.0,-42.0,-36.0,-44.0,-49.0,-90.0,-92.0,-89.0,-92.0,51.0,55.0,45.0,41.0,0
17,92:69:1D:31:68:E9,3819970,484806661,3445,3448305,3816525,481358356,0,3547,921783,3453,900928,94,20855,1769,6,3571,77,0,31,216660.0,130000.0,-51.0,-47.0,-42.0,-49.0,-51.0,-49.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,39.0,46.0,48.0,44.0,0
18,CC:2F:71:3F:1F:24,4392849,1161399584,576324,680041228,3816525,481358356,37,483387,555761841,482831,555694757,556,67084,465722,10,576561,41204,34,430,130000.0,39000.0,-67.0,-65.0,-70.0,-67.0,-67.0,-65.0,-70.0,-67.0,-90.0,-93.0,-90.0,-93.0,23.0,28.0,20.0,26.0,0
19,CC:2F:71:3E:C5:1F,3817196,481440344,671,81988,3816525,481358356,0,2882,240912,2391,182616,491,58296,710,8,1002,18,0,31,144444.0,39000.0,-70.0,-71.0,-67.0,-60.0,-71.0,-72.0,-68.0,-61.0,-90.0,-93.0,-90.0,-93.0,20.0,22.0,23.0,33.0,0
20,BA:8C:B9:54:50:24,3818243,482194705,1716,836147,3816527,481358558,0,5491,816183,5471,813061,20,3122,1001,14,2091,29,0,48,229410.0,130000.0,-49.0,-35.0,-42.0,-45.0,-43.0,-36.0,-44.0,-49.0,-90.0,-93.0,-90.0,-93.0,41.0,58.0,48.0,48.0,0
21,92:69:1D:31:68:E9,3819976,484807267,3445,3448305,3816531,481358962,0,3547,921783,3453,900928,94,20855,1769,6,3571,77,0,31,216660.0,130000.0,-51.0,-47.0,-42.0,-49.0,-51.0,-49.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,39.0,46.0,48.0,44.0,0
22,CC:2F:71:3F:1F:24,4392898,1161414686,576367,680055724,3816531,481358962,37,483413,555766785,482857,555699701,556,67084,465748,10,576604,41253,34,430,130000.0,39000.0,-67.0,-65.0,-70.0,-67.0,-67.0,-65.0,-70.0,-67.0,-90.0,-93.0,-90.0,-93.0,23.0,28.0,20.0,26.0,0
23,CC:2F:71:3E:C5:1F,3817203,481441010,671,81988,3816532,481359022,0,2882,240912,2391,182616,491,58296,710,8,1002,18,0,31,144444.0,39000.0,-70.0,-71.0,-67.0,-60.0,-71.0,-72.0,-68.0,-61.0,-90.0,-93.0,-90.0,-93.0,20.0,22.0,23.0,33.0,0
24,BA:8C:B9:54:50:24,3818248,482195169,1716,836147,3816532,481359022,0,5491,816183,5471,813061,20,3122,1001,14,2091,29,0,48,229410.0,130000.0,-49.0,-35.0,-42.0,-45.0,-43.0,-36.0,-44.0,-49.0,-90.0,-93.0,-90.0,-93.0,41.0,58.0,48.0,48.0,0
25,92:69:1D:31:68:E9,3819980,484807802,3445,3448305,3816535,481359497,0,3547,921783,3453,900928,94,20855,1769,6,3571,77,0,31,216660.0,130000.0,-51.0,-47.0,-42.0,-49.0,-51.0,-49.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,39.0,46.0,48.0,44.0,0
26,CC:2F:71:3F:1F:24,4392943,1161429525,576408,680070028,3816535,481359497,37,483438,555771589,482882,555704505,556,67084,465773,10,576645,41298,34,430,144444.0,43333.0,-67.0,-65.0,-70.0,-68.0,-67.0,-65.0,-70.0,-67.0,-90.0,-93.0,-90.0,-93.0,23.0,28.0,20.0,25.0,0
27,CC:2F:71:3E:C5:1F,3817208,481441687,671,81988,3816537,481359699,0,2882,240912,2391,182616,491,58296,710,8,1002,18,0,31,144444.0,39000.0,-70.0,-71.0,-67.0,-60.0,-71.0,-72.0,-68.0,-61.0,-90.0,-93.0,-90.0,-93.0,20.0,22.0,23.0,33.0,0
28,BA:8C:B9:54:50:24,3818253,482195846,1716,836147,3816537,481359699,0,5491,816183,5471,813061,20,3122,1001,14,2091,29,0,48,229410.0,130000.0,-49.0,-35.0,-42.0,-45.0,-43.0,-36.0,-44.0,-49.0,-90.0,-93.0,-90.0,-93.0,41.0,58.0,48.0,48.0,0
29,92:69:1D:31:68:E9,3819986,484808408,3445,3448305,3816541,481360103,0,3547,921783,3453,900928,94,20855,1769,6,3571,77,0,31,216660.0,130000.0,-51.0,-47.0,-42.0,-49.0,-51.0,-49.0,-44.0,-47.0,-90.0,-93.0,-90.0,-93.0,39.0,46.0,48.0,44.0,0
30,CC:2F:71:3F:1F:24,4392993,1161445183,576452,680085080,3816541,481360103,37,483466,555776799,482910,555709715,556,67084,465801,10,576689,41336,34,430,144444.0,39000.0,-67.0,-65.0,-70.0,-67.0,-67.0,-65.0,-70.0,-67.0,-90.0,-93.0,-90.0,-93.0,23.0,28.0,20.0,26.0,0
31,CC:2F:71:3E:C5:1F,3817212,481442091,671,81988,3816541,481360103,0,2882,240912,2391,182616,491,58296,710,8,1002,18,0,31,144444.0,39000.0,-70.0,-71.0,-67.0,-60.0,-71.0,-72.0,-68.0,-61.0,-90.0,-93.0,-90.0,-93.0,20.0,22.0,23.0,33.0,0
