sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1,CC:2F:71:3F:1F:24,4050296,807461971,284729,332510296,3765567,474951675,27,239859,275641213,239756,275628513,103,12700,229385,6,284730,24560,24,160,144444.0,43333.0,-68.0,-66.0,-70.0,-68.0,-68.0,-66.0,-70.0,-67.0,-91.0,-94.0,-90.0,-94.0,23.0,28.0,20.0,26.0,0
2,CC:2F:71:3E:C5:1F,3765692,474966963,125,15288,3765567,474951675,0,494,42204,402,31162,92,11042,134,2,167,4,0,5,130000.0,39000.0,-72.0,-70.0,-67.0,-60.0,-72.0,-73.0,-68.0,-62.0,-91.0,-94.0,-90.0,-94.0,19.0,24.0,23.0,34.0,0
3,BA:8C:B9:54:50:24,3765887,475043535,318,91658,3765569,474951877,0,1388,149863,1370,147017,18,2846,200,6,450,12,0,8,216660.0,130000.0,-40.0,-37.0,-45.0,-51.0,-41.0,-36.0,-44.0,-48.0,-91.0,-94.0,-90.0,-94.0,51.0,57.0,45.0,43.0,0
4,92:69:1D:31:68:E9,3778408,490217014,12839,15265137,3765569,474951877,3,19428,3602501,18723,3440294,705,162207,6480,105,14111,252,3,252,229410.0,130000.0,-51.0,-47.0,-42.0,-48.0,-51.0,-47.0,-42.0,-48.0,-91.0,-94.0,-90.0,-94.0,40.0,47.0,48.0,46.0,0
5,CC:2F:71:3F:1F:24,4050420,807589468,284850,332637531,3765570,474951937,27,239963,275754851,239860,275742151,103,12700,229489,6,284851,24563,24,160,144444.0,43333.0,-69.0,-67.0,-70.0,-68.0,-69.0,-67.0,-70.0,-68.0,-91.0,-94.0,-90.0,-94.0,22.0,27.0,20.0,26.0,0
6,CC:2F:71:3E:C5:1F,3765696,474967341,126,15404,3765570,474951937,0,495,42274,403,31232,92,11042,134,2,168,4,0,5,130000.0,39000.0,-72.0,-70.0,-67.0,-59.0,-73.0,-74.0,-68.0,-62.0,-91.0,-94.0,-90.0,-94.0,19.0,24.0,23.0,35.0,0
7,BA:8C:B9:54:50:24,3765889,475043711,319,91774,3765570,474951937,0,1393,150203,1375,147357,18,2846,200,6,451,12,0,8,216660.0,130000.0,-42.0,-35.0,-44.0,-46.0,-41.0,-36.0,-44.0,-48.0,-91.0,-94.0,-90.0,-94.0,49.0,59.0,46.0,48.0,0
8,92:69:1D:31:68:E9,3778412,490217392,12840,15265253,3765572,474952139,3,19430,3602637,18725,3440430,705,162207,6480,105,14112,252,3,252,229410.0,130000.0,-52.0,-46.0,-42.0,-48.0,-51.0,-46.0,-42.0,-48.0,-91.0,-94.0,-90.0,-94.0,39.0,48.0,48.0,46.0,0
9,CC:2F:71:3F:1F:24,4050531,807708220,284955,332755677,3765576,474952543,27,240053,275862043,239950,275849343,103,12700,229579,6,284956,24566,24,160,144444.0,43333.0,-71.0,-67.0,-68.0,-69.0,-71.0,-66.0,-68.0,-69.0,-91.0,-94.0,-90.0,-94.0,20.0,27.0,22.0,25.0,0
10,CC:2F:71:3E:C5:1F,3765702,474967947,126,15404,3765576,474952543,0,496,42344,404,31302,92,11042,134,2,168,4,0,5,130000.0,39000.0,-71.0,-70.0,-67.0,-60.0,-72.0,-72.0,-68.0,-61.0,-91.0,-94.0,-90.0,-94.0,20.0,24.0,23.0,34.0,0
11,BA:8C:B9:54:50:24,3765895,475044317,319,91774,3765576,474952543,0,1394,150271,1376,147425,18,2846,200,6,451,12,0,8,216660.0,130000.0,-40.0,-37.0,-45.0,-50.0,-41.0,-36.0,-44.0,-48.0,-91.0,-94.0,-90.0,-94.0,51.0,57.0,45.0,44.0,0
12,92:69:1D:31:68:E9,3778416,490217796,12840,15265253,3765576,474952543,3,19430,3602637,18725,3440430,705,162207,6480,105,14112,252,3,252,229410.0,130000.0,-52.0,-46.0,-42.0,-48.0,-51.0,-46.0,-42.0,-48.0,-91.0,-94.0,-90.0,-94.0,39.0,48.0,48.0,46.0,0
13,CC:2F:71:3F:1F:24,4050639,807826642,285061,332873897,3765578,474952745,27,240144,275969393,240041,275956693,103,12700,229670,6,285062,24595,24,160,130000.0,43333.0,-73.0,-66.0,-68.0,-70.0,-73.0,-65.0,-68.0,-69.0,-91.0,-93.0,-90.0,-94.0,18.0,27.0,22.0,24.0,0
14,CC:2F:71:3E:C5:1F,3765705,474968209,126,15404,3765579,474952805,0,496,42344,404,31302,92,11042,134,2,168,4,0,5,130000.0,39000.0,-71.0,-70.0,-67.0,-60.0,-72.0,-72.0,-68.0,-61.0,-91.0,-93.0,-90.0,-94.0,20.0,23.0,23.0,34.0,0
15,BA:8C:B9:54:50:24,3765898,475044579,319,91774,3765579,474952805,0,1394,150271,1376,147425,18,2846,200,6,451,12,0,8,216660.0,130000.0,-40.0,-37.0,-45.0,-50.0,-41.0,-36.0,-44.0,-48.0,-91.0,-93.0,-90.0,-94.0,51.0,56.0,45.0,44.0,0
16,92:69:1D:31:68:E9,3778419,490218058,12840,15265253,3765579,474952805,3,19430,3602637,18725,3440430,705,162207,6480,105,14112,252,3,252,229410.0,130000.0,-52.0,-46.0,-42.0,-48.0,-51.0,-46.0,-42.0,-48.0,-91.0,-93.0,-90.0,-94.0,39.0,47.0,48.0,46.0,0
17,CC:2F:71:3F:1F:24,4050751,807945512,285168,332992303,3765583,474953209,27,240233,276076469,240130,276063769,103,12700,229759,6,285169,24596,24,160,130000.0,43333.0,-73.0,-66.0,-67.0,-70.0,-73.0,-66.0,-67.0,-70.0,-91.0,-93.0,-90.0,-94.0,18.0,27.0,23.0,24.0,0
18,CC:2F:71:3E:C5:1F,3765711,474968815,126,15404,3765585,474953411,0,496,42344,404,31302,92,11042,134,2,168,4,0,5,130000.0,39000.0,-71.0,-70.0,-67.0,-60.0,-72.0,-72.0,-68.0,-61.0,-91.0,-93.0,-90.0,-94.0,20.0,23.0,23.0,34.0,0
19,BA:8C:B9:54:50:24,3765904,475045185,319,91774,3765585,474953411,0,1394,150271,1376,147425,18,2846,200,6,451,12,0,8,216660.0,130000.0,-40.0,-37.0,-45.0,-50.0,-41.0,-36.0,-44.0,-48.0,-91.0,-93.0,-90.0,-94.0,51.0,56.0,45.0,44.0,0
20,92:69:1D:31:68:E9,3778425,490218664,12840,15265253,3765585,474953411,3,19430,3602637,18725,3440430,705,162207,6480,105,14112,252,3,252,229410.0,130000.0,-52.0,-46.0,-42.0,-48.0,-51.0,-46.0,-42.0,-48.0,-91.0,-93.0,-90.0,-94.0,39.0,47.0,48.0,46.0,0
21,CC:2F:71:3F:1F:24,4050860,808063838,285273,333110225,3765587,474953613,27,240323,276183661,240220,276170961,103,12700,229849,6,285274,24601,24,160,130000.0,43333.0,-72.0,-67.0,-68.0,-68.0,-72.0,-67.0,-68.0,-68.0,-91.0,-93.0,-90.0,-94.0,19.0,26.0,22.0,26.0,0
22,CC:2F:71:3E:C5:1F,3765714,474969079,126,15404,3765588,474953675,0,497,42462,404,31302,93,11160,135,2,168,4,0,5,130000.0,39000.0,-72.0,-70.0,-66.0,-60.0,-72.0,-72.0,-67.0,-61.0,-91.0,-93.0,-90.0,-94.0,19.0,23.0,24.0,34.0,0
23,BA:8C:B9:54:50:24,3765907,475045449,319,91774,3765588,474953675,0,1394,150271,1376,147425,18,2846,200,6,451,12,0,8,216660.0,130000.0,-40.0,-37.0,-45.0,-50.0,-41.0,-36.0,-44.0,-48.0,-91.0,-93.0,-90.0,-94.0,51.0,56.0,45.0,44.0,0
24,92:69:1D:31:68:E9,3778428,490218928,12840,15265253,3765588,474953675,3,19430,3602637,18725,3440430,705,162207,6480,105,14112,252,3,252,229410.0,130000.0,-52.0,-46.0,-42.0,-48.0,-51.0,-46.0,-42.0,-48.0,-91.0,-93.0,-90.0,-94.0,39.0,47.0,48.0,46.0,0
25,CC:2F:71:3F:1F:24,4050972,808182640,285379,333228501,3765593,474954139,27,240412,276290737,240309,276278037,103,12700,229938,6,285380,24601,24,160,130000.0,43333.0,-72.0,-66.0,-68.0,-68.0,-72.0,-66.0,-68.0,-68.0,-91.0,-93.0,-90.0,-94.0,19.0,27.0,22.0,26.0,0
26,CC:2F:71:3E:C5:1F,3765721,474969745,126,15404,3765595,474954341,0,498,42532,405,31372,93,11160,135,2,168,4,0,5,130000.0,39000.0,-72.0,-70.0,-66.0,-60.0,-71.0,-70.0,-66.0,-59.0,-91.0,-93.0,-90.0,-94.0,19.0,23.0,24.0,34.0,0
27,BA:8C:B9:54:50:24,3765914,475046115,319,91774,3765595,474954341,0,1394,150271,1376,147425,18,2846,200,6,451,12,0,8,216660.0,130000.0,-40.0,-37.0,-45.0,-50.0,-41.0,-36.0,-44.0,-48.0,-91.0,-93.0,-90.0,-94.0,51.0,56.0,45.0,44.0,0
28,92:69:1D:31:68:E9,3778435,490219594,12840,15265253,3765595,474954341,3,19430,3602637,18725,3440430,705,162207,6480,105,14112,252,3,252,229410.0,130000.0,-52.0,-46.0,-42.0,-48.0,-51.0,-46.0,-42.0,-48.0,-91.0,-93.0,-90.0,-94.0,39.0,47.0,48.0,46.0,0
29,CC:2F:71:3F:1F:24,4051089,808304735,285492,333350192,3765597,474954543,27,240506,276397460,240403,276384760,103,12700,230032,6,285492,24602,24,160,130000.0,39000.0,-72.0,-68.0,-70.0,-69.0,-71.0,-67.0,-69.0,-68.0,-91.0,-93.0,-90.0,-94.0,19.0,25.0,20.0,25.0,0
30,CC:2F:71:3E:C5:1F,3765723,474969947,126,15404,3765597,474954543,0,498,42532,405,31372,93,11160,135,2,168,4,0,5,130000.0,39000.0,-72.0,-70.0,-66.0,-60.0,-71.0,-70.0,-66.0,-59.0,-91.0,-93.0,-90.0,-94.0,19.0,23.0,24.0,34.0,0
31,BA:8C:B9:54:50:24,3765916,475046317,319,91774,3765597,474954543,0,1394,150271,1376,147425,18,2846,200,6,451,12,0,8,216660.0,130000.0,-40.0,-37.0,-45.0,-50.0,-41.0,-36.0,-44.0,-48.0,-91.0,-93.0,-90.0,-94.0,51.0,56.0,45.0,44.0,0
32,92:69:1D:31:68:E9,3778437,490219796,12840,15265253,3765597,474954543,3,19430,3602637,18725,3440430,705,162207,6480,105,14112,252,3,252,229410.0,130000.0,-52.0,-46.0,-42.0,-48.0,-51.0,-46.0,-42.0,-48.0,-91.0,-93.0,-90.0,-94.0,39.0,47.0,48.0,46.0,0
