sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
3057,92:69:1D:31:68:E9,3867142,490918267,4432,3785035,3862710,487133232,2,6559,1354195,6347,1305804,212,48391,2514,18,4762,130,2,80,229410.0,130000.0,-52.0,-48.0,-42.0,-48.0,-51.0,-48.0,-44.0,-47.0,-87.0,-87.0,-84.0,-86.0,35.0,39.0,42.0,38.0,1
3058,CC:2F:71:3F:1F:24,5462720,2313425015,1600010,1826291783,3862710,487133232,2286,1334674,1502040459,1333665,1501917783,1009,122676,1291569,15,1598088,144075,2283,969,144444.0,43333.0,-74.0,-69.0,-70.0,-72.0,-74.0,-69.0,-70.0,-72.0,-87.0,-87.0,-84.0,-86.0,13.0,18.0,14.0,14.0,1
3059,CC:2F:71:3E:C5:1F,3863865,487274361,1155,141129,3862710,487133232,3,5086,423203,4246,323553,840,99650,1221,17,1670,34,3,57,144444.0,43333.0,-73.0,-72.0,-68.0,-60.0,-71.0,-71.0,-67.0,-59.0,-87.0,-87.0,-84.0,-86.0,14.0,15.0,16.0,26.0,1
3060,BA:8C:B9:54:50:24,3867808,493373879,5098,6240647,3862710,487133232,7,10929,1841470,10907,1837975,22,3495,2402,20,5689,48,7,87,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-45.0,-35.0,-43.0,-46.0,-87.0,-87.0,-84.0,-86.0,39.0,52.0,41.0,41.0,1
3061,62:47:05:9D:EB:15,3884021,534105553,21302,46970531,3862719,487135022,1,17660,6012382,17564,5997923,96,14459,8152,3,21425,466,1,179,229410.0,130000.0,-42.0,-42.0,-41.0,-48.0,-42.0,-43.0,-40.0,-47.0,-87.0,-87.0,-84.0,-86.0,45.0,45.0,43.0,38.0,1
3062,92:69:1D:31:68:E9,3867151,490920057,4432,3785035,3862719,487135022,2,6559,1354195,6347,1305804,212,48391,2514,18,4762,130,2,80,229410.0,130000.0,-52.0,-48.0,-42.0,-48.0,-51.0,-48.0,-44.0,-47.0,-87.0,-87.0,-84.0,-86.0,35.0,39.0,42.0,38.0,1
3063,CC:2F:71:3F:1F:24,5462920,2313669595,1600201,1826534573,3862719,487135022,2286,1334846,1502271383,1333837,1502148707,1009,122676,1291739,15,1598279,144083,2283,969,130000.0,43333.0,-74.0,-70.0,-70.0,-73.0,-74.0,-70.0,-70.0,-72.0,-87.0,-87.0,-84.0,-86.0,13.0,17.0,14.0,13.0,1
3064,CC:2F:71:3E:C5:1F,3863874,487276151,1155,141129,3862719,487135022,3,5086,423203,4246,323553,840,99650,1221,17,1670,34,3,57,144444.0,43333.0,-73.0,-72.0,-68.0,-60.0,-71.0,-71.0,-67.0,-59.0,-87.0,-87.0,-84.0,-86.0,14.0,15.0,16.0,26.0,1
3065,BA:8C:B9:54:50:24,3867817,493375669,5098,6240647,3862719,487135022,7,10929,1841470,10907,1837975,22,3495,2402,20,5689,48,7,87,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-45.0,-35.0,-43.0,-46.0,-87.0,-87.0,-84.0,-86.0,39.0,52.0,41.0,41.0,1
3066,62:47:05:9D:EB:15,3884023,534105755,21302,46970531,3862721,487135224,1,17660,6012382,17564,5997923,96,14459,8152,3,21425,466,1,179,229410.0,130000.0,-42.0,-42.0,-41.0,-48.0,-42.0,-43.0,-40.0,-47.0,-87.0,-87.0,-84.0,-86.0,45.0,45.0,43.0,38.0,1
3067,92:69:1D:31:68:E9,3867153,490920259,4432,3785035,3862721,487135224,2,6559,1354195,6347,1305804,212,48391,2514,18,4762,130,2,80,229410.0,130000.0,-52.0,-48.0,-42.0,-48.0,-51.0,-48.0,-44.0,-47.0,-87.0,-87.0,-84.0,-86.0,35.0,39.0,42.0,38.0,1
3068,CC:2F:71:3F:1F:24,5463112,2313912513,1600391,1826777289,3862721,487135224,2286,1335022,1502502989,1334013,1502380313,1009,122676,1291910,15,1598469,144084,2283,969,130000.0,43333.0,-75.0,-70.0,-70.0,-73.0,-74.0,-70.0,-70.0,-72.0,-87.0,-87.0,-84.0,-86.0,12.0,17.0,14.0,13.0,1
3069,CC:2F:71:3E:C5:1F,3863876,487276353,1155,141129,3862721,487135224,3,5086,423203,4246,323553,840,99650,1221,17,1670,34,3,57,144444.0,43333.0,-73.0,-72.0,-68.0,-60.0,-71.0,-71.0,-67.0,-59.0,-87.0,-87.0,-84.0,-86.0,14.0,15.0,16.0,26.0,1
3070,BA:8C:B9:54:50:24,3867819,493375871,5098,6240647,3862721,487135224,7,10929,1841470,10907,1837975,22,3495,2402,20,5689,48,7,87,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-45.0,-35.0,-43.0,-46.0,-87.0,-87.0,-84.0,-86.0,39.0,52.0,41.0,41.0,1
