sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
3003,92:69:1D:31:68:E9,3846987,488326480,4015,3649333,3842972,484677147,0,5192,1141624,5031,1105121,161,36503,2188,12,4255,102,0,56,229410.0,130000.0,-54.0,-47.0,-42.0,-48.0,-51.0,-47.0,-43.0,-46.0,-85.0,-85.0,-81.0,-82.0,31.0,38.0,39.0,34.0,1
3004,CC:2F:71:3F:1F:24,4898950,1674875876,1055976,1190198527,3842974,484677349,479,873867,966898773,873072,966802633,795,96140,844521,15,1055797,109862,476,677,86667.0,14444.0,-70.0,-71.0,-66.0,-75.0,-69.0,-71.0,-66.0,-74.0,-85.0,-85.0,-81.0,-82.0,15.0,14.0,15.0,7.0,1
3005,CC:2F:71:3E:C5:1F,3843923,484793248,949,115899,3842974,484677349,0,3970,333333,3276,250911,694,82422,1004,12,1367,26,0,52,144444.0,39000.0,-72.0,-71.0,-70.0,-60.0,-72.0,-72.0,-69.0,-61.0,-85.0,-85.0,-81.0,-82.0,13.0,14.0,11.0,22.0,1
3006,BA:8C:B9:54:50:24,3847870,490866881,4896,6189532,3842974,484677349,0,9431,1729572,9409,1726077,22,3495,2354,17,5379,41,0,66,216660.0,130000.0,-40.0,-37.0,-46.0,-52.0,-43.0,-35.0,-43.0,-47.0,-85.0,-85.0,-81.0,-82.0,45.0,48.0,35.0,30.0,1
3007,62:47:05:9D:EB:15,3845139,487113015,2161,2435262,3842978,484677753,0,4398,3019344,4366,3014225,32,5119,2071,0,2217,56,0,106,229410.0,130000.0,-47.0,-47.0,-39.0,-45.0,-46.0,-46.0,-39.0,-46.0,-85.0,-85.0,-81.0,-82.0,38.0,38.0,42.0,37.0,1
3008,3C:55:76:E8:8F:1F,3929754,701227892,86776,216550139,3842978,484677753,42,42096,8840807,41483,8731735,613,109072,17430,46,86853,9866,42,616,270830.0,162500.0,-49.0,-55.0,-48.0,-46.0,-48.0,-55.0,-46.0,-45.0,-85.0,-85.0,-81.0,-82.0,36.0,30.0,33.0,36.0,1
3009,92:69:1D:31:68:E9,3846993,488327086,4015,3649333,3842978,484677753,0,5192,1141624,5031,1105121,161,36503,2188,12,4255,102,0,56,229410.0,130000.0,-54.0,-47.0,-42.0,-48.0,-51.0,-47.0,-43.0,-46.0,-85.0,-85.0,-81.0,-82.0,31.0,38.0,39.0,34.0,1
3010,CC:2F:71:3F:1F:24,4899163,1675138570,1056185,1190460817,3842978,484677753,479,874053,967144381,873258,967048241,795,96140,844707,15,1056006,109868,476,677,115556.0,28889.0,-70.0,-72.0,-66.0,-74.0,-70.0,-72.0,-65.0,-74.0,-85.0,-85.0,-81.0,-82.0,15.0,13.0,15.0,8.0,1
3011,CC:2F:71:3E:C5:1F,3843927,484793652,949,115899,3842978,484677753,0,3970,333333,3276,250911,694,82422,1004,12,1367,26,0,52,144444.0,39000.0,-72.0,-71.0,-70.0,-60.0,-72.0,-72.0,-69.0,-61.0,-85.0,-85.0,-81.0,-82.0,13.0,14.0,11.0,22.0,1
3012,BA:8C:B9:54:50:24,3847874,490867285,4896,6189532,3842978,484677753,0,9431,1729572,9409,1726077,22,3495,2354,17,5379,41,0,66,216660.0,130000.0,-40.0,-37.0,-46.0,-52.0,-43.0,-35.0,-43.0,-47.0,-85.0,-85.0,-81.0,-82.0,45.0,48.0,35.0,30.0,1
3013,62:47:05:9D:EB:15,3845145,487113541,2161,2435262,3842984,484678279,0,4398,3019344,4366,3014225,32,5119,2071,0,2217,56,0,106,229410.0,130000.0,-47.0,-47.0,-39.0,-45.0,-46.0,-46.0,-39.0,-46.0,-86.0,-86.0,-82.0,-83.0,39.0,39.0,43.0,38.0,1
3014,3C:55:76:E8:8F:1F,3929781,701280952,86797,216602673,3842984,484678279,42,42122,8843139,41509,8734067,613,109072,17436,46,86874,9866,42,616,270830.0,162500.0,-48.0,-55.0,-46.0,-46.0,-48.0,-55.0,-45.0,-45.0,-86.0,-86.0,-82.0,-83.0,38.0,31.0,36.0,37.0,1
3015,92:69:1D:31:68:E9,3846999,488327612,4015,3649333,3842984,484678279,0,5192,1141624,5031,1105121,161,36503,2188,12,4255,102,0,56,229410.0,130000.0,-54.0,-47.0,-42.0,-48.0,-51.0,-47.0,-43.0,-46.0,-86.0,-86.0,-82.0,-83.0,32.0,39.0,40.0,35.0,1
3016,CC:2F:71:3F:1F:24,4899387,1675407197,1056403,1190728918,3842984,484678279,479,874249,967393063,873454,967296923,795,96140,844903,15,1056224,109878,476,677,115556.0,28889.0,-70.0,-72.0,-65.0,-75.0,-70.0,-72.0,-65.0,-75.0,-86.0,-86.0,-82.0,-83.0,16.0,14.0,17.0,8.0,1
3017,CC:2F:71:3E:C5:1F,3843933,484794178,949,115899,3842984,484678279,0,3972,333521,3277,250981,695,82540,1005,12,1367,26,0,52,144444.0,39000.0,-73.0,-71.0,-70.0,-61.0,-73.0,-72.0,-70.0,-61.0,-86.0,-86.0,-82.0,-83.0,13.0,15.0,12.0,22.0,1
3018,BA:8C:B9:54:50:24,3847880,490867811,4896,6189532,3842984,484678279,0,9431,1729572,9409,1726077,22,3495,2354,17,5379,41,0,66,216660.0,130000.0,-40.0,-37.0,-46.0,-52.0,-43.0,-35.0,-43.0,-47.0,-86.0,-86.0,-82.0,-83.0,46.0,49.0,36.0,31.0,1
3019,62:47:05:9D:EB:15,3845151,487114267,2161,2435262,3842990,484679005,0,4398,3019344,4366,3014225,32,5119,2071,0,2217,56,0,106,229410.0,130000.0,-47.0,-47.0,-39.0,-45.0,-46.0,-46.0,-39.0,-46.0,-86.0,-87.0,-83.0,-84.0,39.0,40.0,44.0,39.0,1
3020,3C:55:76:E8:8F:1F,3929787,701281678,86797,216602673,3842990,484679005,42,42125,8843593,41511,8734205,614,109388,17437,46,86874,9866,42,617,270830.0,162500.0,-44.0,-51.0,-45.0,-38.0,-46.0,-53.0,-45.0,-42.0,-86.0,-87.0,-83.0,-84.0,42.0,36.0,38.0,46.0,1
3021,92:69:1D:31:68:E9,3847005,488328338,4015,3649333,3842990,484679005,0,5192,1141624,5031,1105121,161,36503,2188,12,4255,102,0,56,229410.0,130000.0,-54.0,-47.0,-42.0,-48.0,-51.0,-47.0,-43.0,-46.0,-86.0,-87.0,-83.0,-84.0,32.0,40.0,41.0,36.0,1
3022,CC:2F:71:3F:1F:24,4899601,1675669539,1056611,1190990534,3842990,484679005,479,874433,967637017,873637,967540759,796,96258,845087,15,1056432,109886,476,677,115556.0,28889.0,-70.0,-72.0,-66.0,-75.0,-70.0,-72.0,-66.0,-75.0,-86.0,-87.0,-83.0,-84.0,16.0,15.0,17.0,9.0,1
3023,CC:2F:71:3E:C5:1F,3843939,484794904,949,115899,3842990,484679005,0,3972,333521,3277,250981,695,82540,1005,12,1367,26,0,52,144444.0,39000.0,-73.0,-71.0,-70.0,-61.0,-73.0,-72.0,-70.0,-61.0,-86.0,-87.0,-83.0,-84.0,13.0,16.0,13.0,23.0,1
3024,BA:8C:B9:54:50:24,3847889,490868799,4896,6189532,3842993,484679267,0,9431,1729572,9409,1726077,22,3495,2354,17,5379,41,0,66,216660.0,130000.0,-40.0,-37.0,-46.0,-52.0,-43.0,-35.0,-43.0,-47.0,-86.0,-87.0,-83.0,-84.0,46.0,50.0,37.0,32.0,1
3025,62:47:05:9D:EB:15,3845157,487114791,2161,2435262,3842996,484679529,0,4398,3019344,4366,3014225,32,5119,2071,0,2217,56,0,106,229410.0,130000.0,-47.0,-47.0,-39.0,-45.0,-46.0,-46.0,-39.0,-46.0,-86.0,-87.0,-83.0,-84.0,39.0,40.0,44.0,39.0,1
3026,3C:55:76:E8:8F:1F,3929797,701282834,86801,216603305,3842996,484679529,42,42143,8845045,41528,8735551,615,109494,17440,46,86878,9868,42,617,270830.0,162500.0,-45.0,-52.0,-44.0,-43.0,-45.0,-53.0,-47.0,-41.0,-87.0,-87.0,-83.0,-85.0,42.0,35.0,39.0,42.0,1
3027,92:69:1D:31:68:E9,3847012,488328922,4015,3649333,3842997,484679589,0,5192,1141624,5031,1105121,161,36503,2188,12,4255,102,0,56,229410.0,130000.0,-54.0,-47.0,-42.0,-48.0,-51.0,-47.0,-43.0,-46.0,-87.0,-87.0,-83.0,-85.0,33.0,40.0,41.0,37.0,1
3028,CC:2F:71:3F:1F:24,4899817,1675930163,1056818,1191250372,3842999,484679791,479,874615,967879369,873819,967783111,796,96258,845269,15,1056639,109903,476,677,115556.0,28889.0,-71.0,-73.0,-67.0,-76.0,-71.0,-74.0,-68.0,-76.0,-87.0,-87.0,-83.0,-85.0,16.0,14.0,16.0,9.0,1
3029,CC:2F:71:3E:C5:1F,3843948,484795690,949,115899,3842999,484679791,0,3972,333521,3277,250981,695,82540,1005,12,1367,26,0,52,144444.0,39000.0,-73.0,-71.0,-70.0,-61.0,-73.0,-72.0,-70.0,-61.0,-87.0,-87.0,-83.0,-85.0,14.0,16.0,13.0,24.0,1
3030,BA:8C:B9:54:50:24,3847895,490869323,4896,6189532,3842999,484679791,0,9431,1729572,9409,1726077,22,3495,2354,17,5379,41,0,66,216660.0,130000.0,-40.0,-37.0,-46.0,-52.0,-43.0,-35.0,-43.0,-47.0,-87.0,-87.0,-83.0,-85.0,47.0,50.0,37.0,33.0,1
