sample,station,tx_total_pkts,tx_total_bytes,tx_ucast_pkts,tx_ucast_bytes,tx_mcast_bcast_pkts,tx_mcast_bcast_bytes,tx_failures,rx_data_pkts,rx_data_bytes,rx_ucast_pkts,rx_ucast_bytes,rx_mcast_bcast_pkts,rx_mcast_bcast_bytes,rx_decrypt_succeeds,tx_data_pkts_retried,tx_total_pkts_sent,tx_pkts_retries,tx_pkts_retry_exhausted,rx_total_pkts_retried,rate_last_tx_pkt_min,rate_last_tx_pkt_max,per_antenna_rssi_last_rx_data_frame_1,per_antenna_rssi_last_rx_data_frame_2,per_antenna_rssi_last_rx_data_frame_3,per_antenna_rssi_last_rx_data_frame_4,per_antenna_avg_rssi_rx_data_frames_1,per_antenna_avg_rssi_rx_data_frames_2,per_antenna_avg_rssi_rx_data_frames_3,per_antenna_avg_rssi_rx_data_frames_4,per_antenna_noise_floor_1,per_antenna_noise_floor_2,per_antenna_noise_floor_3,per_antenna_noise_floor_4,sinr_per_antenna_1,sinr_per_antenna_2,sinr_per_antenna_3,sinr_per_antenna_4,attack
1961,CC:2F:71:3F:1F:24,3898394,658364630,140529,184382786,3757865,473981844,27,125884,162348142,125846,162343208,38,4934,121483,5,140522,9534,24,126,130000.0,43333.0,-70.0,-67.0,-71.0,-70.0,-69.0,-66.0,-71.0,-69.0,-87.0,-88.0,-84.0,-85.0,17.0,21.0,13.0,15.0,1
1962,CC:2F:71:3E:C5:1F,3757907,473987004,42,5160,3757865,473981844,0,156,13844,123,9764,33,4080,47,2,55,4,0,1,130000.0,39000.0,-70.0,-70.0,-67.0,-60.0,-69.0,-69.0,-66.0,-60.0,-87.0,-88.0,-84.0,-85.0,17.0,18.0,17.0,25.0,1
1963,BA:8C:B9:54:50:24,3758099,474060867,234,79023,3757865,473981844,0,915,113915,898,111207,17,2708,177,2,310,3,0,6,216660.0,130000.0,-40.0,-37.0,-45.0,-51.0,-40.0,-35.0,-44.0,-49.0,-87.0,-88.0,-84.0,-85.0,47.0,51.0,39.0,34.0,1
1964,92:69:1D:31:68:E9,3770553,489192659,12688,15210815,3757865,473981844,3,18970,3522905,18285,3365398,685,157507,6371,104,13924,248,3,249,229410.0,130000.0,-51.0,-48.0,-43.0,-48.0,-49.0,-46.0,-43.0,-47.0,-87.0,-88.0,-84.0,-85.0,36.0,40.0,41.0,37.0,1
1965,CC:2F:71:3F:1F:24,3898510,658485326,140637,184502674,3757873,473982652,27,125972,162455102,125934,162450168,38,4934,121571,5,140630,9534,24,126,130000.0,43333.0,-70.0,-66.0,-71.0,-69.0,-69.0,-66.0,-71.0,-69.0,-87.0,-88.0,-84.0,-85.0,17.0,22.0,13.0,16.0,1
1966,CC:2F:71:3E:C5:1F,3757915,473987812,42,5160,3757873,473982652,0,156,13844,123,9764,33,4080,47,2,55,4,0,1,130000.0,39000.0,-70.0,-70.0,-67.0,-60.0,-69.0,-69.0,-66.0,-60.0,-87.0,-88.0,-84.0,-85.0,17.0,18.0,17.0,25.0,1
1967,BA:8C:B9:54:50:24,3758107,474061675,234,79023,3757873,473982652,0,915,113915,898,111207,17,2708,177,2,310,3,0,6,216660.0,130000.0,-40.0,-37.0,-45.0,-51.0,-40.0,-35.0,-44.0,-49.0,-87.0,-88.0,-84.0,-85.0,47.0,51.0,39.0,34.0,1
1968,92:69:1D:31:68:E9,3770561,489193467,12688,15210815,3757873,473982652,3,18970,3522905,18285,3365398,685,157507,6371,104,13924,248,3,249,229410.0,130000.0,-51.0,-48.0,-43.0,-48.0,-49.0,-46.0,-43.0,-47.0,-87.0,-88.0,-84.0,-85.0,36.0,40.0,41.0,37.0,1
1969,CC:2F:71:3F:1F:24,3898617,658603716,140744,184621064,3757873,473982652,27,126067,162568830,126029,162563896,38,4934,121660,5,140737,9534,24,126,130000.0,43333.0,-70.0,-66.0,-71.0,-69.0,-69.0,-66.0,-71.0,-69.0,-87.0,-88.0,-84.0,-85.0,17.0,22.0,13.0,16.0,1
1970,CC:2F:71:3E:C5:1F,3757915,473987812,42,5160,3757873,473982652,0,156,13844,123,9764,33,4080,47,2,55,4,0,1,130000.0,39000.0,-70.0,-70.0,-67.0,-60.0,-69.0,-69.0,-66.0,-60.0,-87.0,-88.0,-84.0,-85.0,17.0,18.0,17.0,25.0,1
1971,BA:8C:B9:54:50:24,3758107,474061675,234,79023,3757873,473982652,0,915,113915,898,111207,17,2708,177,2,310,3,0,6,216660.0,130000.0,-40.0,-37.0,-45.0,-51.0,-40.0,-35.0,-44.0,-49.0,-87.0,-88.0,-84.0,-85.0,47.0,51.0,39.0,34.0,1
1972,92:69:1D:31:68:E9,3770561,489193467,12688,15210815,3757873,473982652,3,18970,3522905,18285,3365398,685,157507,6371,104,13924,248,3,249,229410.0,130000.0,-51.0,-48.0,-43.0,-48.0,-49.0,-46.0,-43.0,-47.0,-87.0,-88.0,-84.0,-85.0,36.0,40.0,41.0,37.0,1
1973,CC:2F:71:3F:1F:24,3898732,658724102,140852,184740784,3757880,473983318,27,126160,162684984,126122,162680050,38,4934,121748,5,140845,9540,24,126,130000.0,43333.0,-69.0,-66.0,-71.0,-69.0,-69.0,-66.0,-71.0,-69.0,-87.0,-88.0,-84.0,-85.0,18.0,22.0,13.0,16.0,1
1974,CC:2F:71:3E:C5:1F,3757924,473988680,42,5160,3757882,473983520,0,156,13844,123,9764,33,4080,47,2,55,4,0,1,130000.0,39000.0,-70.0,-70.0,-67.0,-60.0,-69.0,-69.0,-66.0,-60.0,-87.0,-88.0,-84.0,-85.0,17.0,18.0,17.0,25.0,1
1975,BA:8C:B9:54:50:24,3758116,474062543,234,79023,3757882,473983520,0,915,113915,898,111207,17,2708,177,2,310,3,0,6,216660.0,130000.0,-40.0,-37.0,-45.0,-51.0,-40.0,-35.0,-44.0,-49.0,-87.0,-88.0,-84.0,-85.0,47.0,51.0,39.0,34.0,1
1976,92:69:1D:31:68:E9,3770570,489194335,12688,15210815,3757882,473983520,3,18971,3522973,18286,3365466,685,157507,6371,104,13924,248,3,249,229410.0,130000.0,-52.0,-48.0,-42.0,-48.0,-50.0,-46.0,-43.0,-47.0,-87.0,-88.0,-84.0,-85.0,35.0,40.0,42.0,37.0,1
1977,CC:2F:71:3F:1F:24,3898875,658864716,140970,184870173,3757905,473994543,27,126264,162805725,126226,162800791,38,4934,121849,5,140963,9550,24,126,117000.0,39000.0,-70.0,-66.0,-71.0,-69.0,-69.0,-66.0,-71.0,-69.0,-87.0,-88.0,-84.0,-85.0,17.0,22.0,13.0,16.0,1
1978,CC:2F:71:3E:C5:1F,3757947,473999703,42,5160,3757905,473994543,0,158,13984,125,9904,33,4080,47,2,56,4,0,1,130000.0,39000.0,-71.0,-70.0,-67.0,-61.0,-69.0,-69.0,-66.0,-60.0,-87.0,-88.0,-84.0,-85.0,16.0,18.0,17.0,24.0,1
1979,BA:8C:B9:54:50:24,3758139,474073566,234,79023,3757905,473994543,0,917,114051,900,111343,17,2708,177,2,311,3,0,6,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-41.0,-35.0,-43.0,-48.0,-87.0,-88.0,-84.0,-85.0,39.0,53.0,41.0,40.0,1
1980,92:69:1D:31:68:E9,3770593,489205358,12688,15210815,3757905,473994543,3,18974,3523344,18288,3365602,686,157742,6372,104,13924,248,3,249,229410.0,130000.0,-52.0,-51.0,-43.0,-48.0,-50.0,-47.0,-43.0,-48.0,-87.0,-88.0,-84.0,-85.0,35.0,37.0,41.0,37.0,1
1981,CC:2F:71:3F:1F:24,3898990,658983802,141077,184988451,3757913,473995351,27,126355,162915923,126317,162910989,38,4934,121937,5,141070,9550,24,126,130000.0,43333.0,-69.0,-66.0,-71.0,-69.0,-69.0,-66.0,-71.0,-69.0,-87.0,-88.0,-84.0,-85.0,18.0,22.0,13.0,16.0,1
1982,CC:2F:71:3E:C5:1F,3757958,474000939,42,5160,3757916,473995779,0,158,13984,125,9904,33,4080,47,2,56,4,0,1,130000.0,39000.0,-71.0,-70.0,-67.0,-61.0,-69.0,-69.0,-66.0,-60.0,-87.0,-88.0,-84.0,-85.0,16.0,18.0,17.0,24.0,1
1983,BA:8C:B9:54:50:24,3758150,474074802,234,79023,3757916,473995779,0,917,114051,900,111343,17,2708,177,2,311,3,0,6,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-41.0,-35.0,-43.0,-48.0,-87.0,-88.0,-84.0,-85.0,39.0,53.0,41.0,40.0,1
1984,92:69:1D:31:68:E9,3770604,489206594,12688,15210815,3757916,473995779,3,18974,3523344,18288,3365602,686,157742,6372,104,13924,248,3,249,229410.0,130000.0,-52.0,-51.0,-43.0,-48.0,-50.0,-47.0,-43.0,-48.0,-87.0,-88.0,-84.0,-85.0,35.0,37.0,41.0,37.0,1
1985,CC:2F:71:3F:1F:24,3899099,659102490,141183,185106711,3757916,473995779,27,126446,163026217,126408,163021283,38,4934,122025,5,141175,9550,24,126,130000.0,43333.0,-69.0,-67.0,-71.0,-69.0,-69.0,-66.0,-70.0,-68.0,-87.0,-88.0,-84.0,-85.0,18.0,21.0,13.0,16.0,1
1986,CC:2F:71:3E:C5:1F,3757958,474000939,42,5160,3757916,473995779,0,158,13984,125,9904,33,4080,47,2,56,4,0,1,130000.0,39000.0,-71.0,-70.0,-67.0,-61.0,-69.0,-69.0,-66.0,-60.0,-87.0,-88.0,-84.0,-85.0,16.0,18.0,17.0,24.0,1
1987,BA:8C:B9:54:50:24,3758150,474074802,234,79023,3757916,473995779,0,917,114051,900,111343,17,2708,177,2,311,3,0,6,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-41.0,-35.0,-43.0,-48.0,-87.0,-88.0,-84.0,-85.0,39.0,53.0,41.0,40.0,1
1988,92:69:1D:31:68:E9,3770604,489206594,12688,15210815,3757916,473995779,3,18974,3523344,18288,3365602,686,157742,6372,104,13924,248,3,249,229410.0,130000.0,-52.0,-51.0,-43.0,-48.0,-50.0,-47.0,-43.0,-48.0,-87.0,-88.0,-84.0,-85.0,35.0,37.0,41.0,37.0,1
1989,CC:2F:71:3F:1F:24,3899212,659221262,141290,185224877,3757922,473996385,27,126540,163136873,126502,163131939,38,4934,122115,5,141283,9554,24,126,130000.0,43333.0,-69.0,-66.0,-71.0,-68.0,-69.0,-66.0,-70.0,-68.0,-87.0,-88.0,-84.0,-85.0,18.0,22.0,13.0,17.0,1
1990,CC:2F:71:3E:C5:1F,3757966,474001747,42,5160,3757924,473996587,0,158,13984,125,9904,33,4080,47,2,56,4,0,1,130000.0,39000.0,-71.0,-70.0,-67.0,-61.0,-69.0,-69.0,-66.0,-60.0,-87.0,-88.0,-84.0,-85.0,16.0,18.0,17.0,24.0,1
1991,BA:8C:B9:54:50:24,3758158,474075610,234,79023,3757924,473996587,0,917,114051,900,111343,17,2708,177,2,311,3,0,6,216660.0,130000.0,-48.0,-35.0,-43.0,-45.0,-41.0,-35.0,-43.0,-48.0,-87.0,-88.0,-84.0,-85.0,39.0,53.0,41.0,40.0,1
1992,92:69:1D:31:68:E9,3770612,489207402,12688,15210815,3757924,473996587,3,18974,3523344,18288,3365602,686,157742,6372,104,13924,248,3,249,229410.0,130000.0,-52.0,-51.0,-43.0,-48.0,-50.0,-47.0,-43.0,-48.0,-87.0,-88.0,-84.0,-85.0,35.0,37.0,41.0,37.0,1
1993,CC:2F:71:3F:1F:24,3899329,659343385,141404,185346738,3757925,473996647,27,126644,163259169,126606,163254235,38,4934,122210,5,141397,9554,24,126,130000.0,43333.0,-70.0,-67.0,-71.0,-69.0,-70.0,-67.0,-71.0,-69.0,-87.0,-88.0,-84.0,-85.0,17.0,21.0,13.0,16.0,1
